id;citation;reponse;coeur
1;-"Je ne dois pas décevoir ceux qui me considère comme leur "héros"";Crocodile;0
2;-"Nous ne jouons pas dans la même catégorie gros porc";Crocodile;0
3;-"Quelle ravissante créature! On en mangerait";Bon Clay;0
4;-"Ouais, une poudre de perlimpinpin, quoi";Luffy;0
5;-"Redis jamais ça! Je ne veux pas que vous mourriez, moi";Vivi;0
6;-"Vous devez d'abord nous passer sur le corps";Koza;0
7;-"Ce pays est devenu fou";Koza;0
8;-"Ta force, ta rapidité, tout ça ne fait pas de différence pour moi";Robin;0
9;-"Quoi de plus inutile que la confiance ?";Crocodile;0
10;-""Équivoque" est mon mot préféré. Équivoque comme le goût d'un parfait au poulpe";Bon Clay;0
11;-"Plus ignoble que ce type, tu meurs";Zoro;0
12;-"T'as les oreilles bouchées?";Smoker;0
13;-"Qui vous a dit de leur demander leur avis?";Smoker;0
14;-"Et tu t'es jamais demandé si c'était pas toi l'abruti fini?";Luffy;0
15;-"Tu serais pas un peu jobarde?";Luffy;0
16;-"Sans batteur la partie serait moins amusante, non?";Miss Merrychristmas;0
17;-"Même si notre amitié est encore fraiche elle sera plus forte que le temps";Bon Clay;0
18;-"Les séparations sont notre lot, à nous autres, aventuriers des océans";Bon Clay;0
19;-"Les travestis ne m'intéressent pas";Sanji;0
20;-"Ca fait du bien par où ça passe";Luffy;0
21;-"Tu sais ce qu'on dit: "Pas de fumée sans feu"";Ace;0
22;-"Mais maintenant, je suis sur que je le battrais";Luffy;0
23;-"Un pirate reste toujours un pirate";Smoker;1
24;-"Je t'attendrai "là-haut"";Ace;0
25;-"Euuuh...Déjolééé...";Mr 4;0
26;-"Je ne tolère pas qu'on maltraite mes hommes";Bon Clay;0
27;-"On aurait eu l'air d'une colonie de vacances";Nami;0
28;-"De quel droit a-t-il pu commettre toutes ces horreurs?";Vivi;0
29;-"Je sais que le roi ne trahirait jamais son peuple";Toto;0
30;-"L'argent et l'honneur ne intéresse pas";Crocodile;0
31;-"Nous, on est terrifié et on n'a aucune envie de se battre.";Koza;0
32;-"Je vous l'ai dit: c'est le peuple qui fait une nation";Cobra;1
33;-"Quel charisme...Dire que nous doutions de la justesse de sa décision";Chaka;0
34;-"Je n'en peux plus de voir nos villes s'assécher";Koza;0
35;-"Alors même si c'est un mensonge fais au moins semblant de dire que tu n'y es pour rien";Koza;0
36;-"Ne sois pas trop prétentieux misérable avorton";Luffy;0
37;-"Pains et beignes à toute heure";Sanji;0
38;-"Banane ou croco c'est quoi la différence?";Luffy;0
39;-"C'est eux qui ne sont pas normaux";Usopp;0
40;-"La prochaine fois qu'on se croise, t'es un homme mort";Smoker;0
41;-"Ne te soucie pas de ce qui peut nous arriver à nous";Zoro;0
42;-"Exprime toi clairement! Je comprend rien à ce que tu racontes";Luffy;0
43;-"Ceux qui se contentent de les posséder simplement ne sont que des larves";Crocodile;0
44;-"Des minables qui se croient fort comme toi il y en a à la pelle";Crocodile;0
45;-"C'est vrai que c'est à nous de te soutenir, et non l'inverse";Zoro;0
46;-"Je te laisse libre de décider quoi faire une fois sur place";Smoker;0
47;-"Tout peut arriver lorsque les temps changent";Smoker;1
48;-"Pourquoi vous battez vous? Vous qui portez le nom de "D"";Robin;0
49;-"Ils m'ont appris à ne pas renoncer";Vivi;0
50;-"Les fruits démoniaques n'ont pas de volonté propre";Usopp;0
51;-"Le pouvoir de "l'amitié" va triompher de toi";Bon Clay;0
52;-"Ce qui compte c'est pas le physique, mais ce qui est à intérieur";Sanji;1
53;-"Alors s'il vous plait, détruisez le palais";Vivi;0
54;-"Non, ne me frappe pas";Bon Clay;0
55;-"Qu'est-ce qu'il fait chaud dans ce pays. J'ai bien envie de me déshabiller, ça te dérange pas?";Bon Clay;0
56;-"T'as un truc sur la joue gauche";Sanji;0
57;-"Toujours éliminer la cible la plus faible en premier";Daz Bonez;0
58;-"J'aimerais avoir les moyens de me débrouiller sans embêter tout le monde...En particulier cette fois";Nami;0
59;-"Si je meurs, il va m'entendre";Nami;0
60;-"Cette andouille n'a rien compris à sa propre invention";Nami;0
61;-"A coté de sa souffrance, une jambe ou deux, ou même trois";Nami;0
62;-"Toi et moi on s'est encore jamais affrontés";Zoro;0
63;-"Un vrai maître sabreur n'est pas celui qui fend tout ce que son arme touche";Kôshirô;1
64;-"Une seconde d'inattention et voila que frappe la mort";Daz Bonez;0
65;-"Il doit comprendre la douleur de notre peuple. Ressentir sa colère";Les Gardes Tsumegeri;0
66;-"La vie est un don précieux dont il faut prendre soin";Crocodile;0
67;-"La faiblesse et la présomption sont deux péchés impardonnables";Crocodile;0
68;-"Seuls les forts ont le droit de parler d'idéaux";Crocodile;0
69;-"Nous, ta voix on l'entend";Luffy;0
70;-"J'ai horreur de devoir dépenser de l'énergie pour rien";Crocodile;0
71;-"Les faibles n'ont pas le droit de parler de justice";Crocodile;0
72;-"Je ne fais jamais confiance à qui que ce soit";Crocodile;0
73;-"Servez-vous de vos yeux pour repérer qui sont nos ennemis";Tashigi;0
74;-"Il n'est pas question que j'abandonne une amie";Luffy;0
75;-"Je préférais l'adjectif "machiavélique"";Crocodile;0
76;-"Je suis vraiment fier d'être au service de la famille nefertari";Pell;0
77;-"Cessez de vous battre";Vivi;1
78;-"Personne ne peut effacer le passé! Nous devons assumer nos erreurs et vivre avec";Cobra;1
79;-"Je vous ai dit de les laisser tranquilles! J'interdis qu'on les touche";Tashigi;0
80;-"Si ça te traumatise au point de pleurer deviens plus forte";Smoker;1
81;-"Dites-leur d'aller au diable";Smoker;0
82;-"En forme? Ben, je suis tout le temps en forme";Luffy;0
83;-"T'es déguisé en femme aujourd'hui? J'en étais sur";Zoro;0
84;-"C'est derrière ce mur";Cobra;0
85;-"Le pouvoir se porte qu'habillé";Cobra;1
86;-"C'est en tant que père et citoyen que je veux leur montrer ma reconnaissance";Cobra;0
87;-"Vous êtes surs que c'est moi que vous cherchez?";Bon Clay;0
88;-"Etes-vous déterminée à ne pas mourir?";Igaram;0
89;-"On est trop tristes";Luffy, Usopp, Sanji, Nami, Chopper;0
90;-"Tes actes sont lourds de conséquences. Alors, maintenant il faut assumer tes responsabilités";Robin;0
91;-"Trop d'ennemis m'empêche de réaliser ce rêve";Robin;0
92;-"La question est de trouver comment aller là-bas";Robin;0
93;-"Il ne faut jamais douter de ce qu'indique le logue pose. C'est la règle d'or.";Robin;0
94;-"Les morts ne parlent pas. Mais ils peuvent révéler beaucoup de choses.";Robin;0
95;-"Ne vous excitez pas trop vite. Leur existence reste une hypothèse.";Nami;0
96;-"C'était un beau combat. Pas besoin d'en dire plus";Sanji;0
97;-"Tu t'es bien moqué de moi, hein";Miss Merry Christmas;0
98;-"La politique, c'est pas vraiment pour nous, tu vois";Sanji;0
99;-"Il y a des fois où un homme ne peut pas reculer devant le combat! Lorsque quelqu'un se moque du rêve d'un de ses amis";Usopp;1
100;-"T'en fais pas pour ce vieux schnock. Il est increvable";Koza;0
101;-"J'espère qu'on se reverra!! Et que vous continuerez à me considérer comme votre amie";Vivi;1
102;-"Tu as l'air bien content que "chapeau de paille" ait réussi à filer";Hina;0
103;-"Ce n'est pas désagréable d'être appelé "papa"";Cobra;0
