id;citation;reponse;coeur
1;-"Mais, ce...cette enfant est...Mais, c'est un "homme"!";Nyon;0
2;-"Un lieu que vous n'auriez jamais pensé fouler du pied et dans le cas contraire, c'est que vous ne tenez pas à la vie";Narrateur;0
3;-"Quoi, vous ne savez même pas ça? Vous êtes assez bizarre. Ce sont les "Kintama"";Luffy;0
4;-"Et, hem, je suppose que l'on peut dire que les hommes ont tendance à devenir gros assez rapidement";Luffy;0
5;-"Qui a eu le culot de mettre un chaton sur ma route?";Hancock;0
6;-"Vos coeurs coupables, envoûtés par ma beauté";Hancock;0
7;-"Un, ce n'est pas la même chose qu'aucun";Momonga;1
8;-"C'est quoi ce pays? Il n'y a vraiment aucun homme ici";Luffy;0
9;-"Quand elle a changé vos nakamas en pierre, comment avez-vous pu rester assisses comme ça à rigoler?";Luffy;0
10;-"En ce moment, cet homme est la seule chose qui nous protège";Marigold;1
11;-"Sans aucune hésitation, cet homme, pour la santé de celles qui l'ont aidé, se met à genou et salue de lui-même";Nyon;0
12;-"Ta grossièreté ne cessera de me surprendre";Hancock;0
13;-"La grandeur de coeur de cet homme est quelque chose que tu as vu de tes propres yeux";Nyon;0
14;-"Une marque qui ne disparaîtra jamais, signifiant que cette personne est "en-dessous des humains"";Hancock;0
15;-"Tu me scandalises, il y a des limites à l'ignorance, tu sais";Nyon;0
16;-"Ce virus...frappe toujours au pire moment";Nyon;0
17;-"C'est comme ils disent dans l'est: "L'amour est toujours un ouragan"";Nyon;0
18;-"Quant à moi, j'ai atteri en enfer";Sanji;0
19;-"Vite, montrez-lui tous les sous-vêtements qu'il désire";Un invoquant de brook;0
20;-"Wh...Phewww! J'en peux plus";Hancock;0
