id;citation;reponse;coeur;chapitre;page;
1;-"Je ne dois pas décevoir ceux qui me considère comme leur "héros"";Crocodile;0;154;19;
2;-"Nous ne jouons pas dans la même catégorie gros porc";Crocodile;0;155;8;
3;-"Quelle ravissante créature! On en mangerait";Bon Clay;0;156;15;
4;-"Les séparations sont notre lot, à nous autres, aventuriers des océans";Bon Clay;0;156;21;
5;-"Même si notre amitié est encore fraiche elle sera plus forte que le temps";Bon Clay;0;156;22;
6;-"Les travestis ne m'intéressent pas";Sanji;0;157;7;
7;-"Ca fait du bien par où ça passe";Luffy;0;158;7;
8;-"Tu sais ce qu'on dit: "Pas de fumée sans feu"";Ace;0;158;19;
9;-"Mais maintenant, je suis sur que je le battrais";Luffy;0;159;8;
10;-"Un pirate reste toujours un pirate";Smoker;1;159;12;
11;-"Rejoins-moi, dans les plus hautes sphères de la piraterie";Ace;0;159;18;
12;-"Euuuh...Déjolééé...";Mr 4;0;160;9;
13;-"Je ne tolère pas qu'on maltraite mes hommes";Bon Clay;0;160;16;
14;-"On aurait eu l'air d'une colonie de vacances";Nami;0;161;7;
15;-"Ouais, une poudre de perlimpinpin, quoi";Luffy;0;161;13;
16;-"De quel droit a-t-il pu commettre toutes ces horreurs?";Vivi;0;161;16;
17;-"Je sais que le roi ne trahirait jamais son peuple";Toto;0;163;8;
18;-"Vous devez d'abord nous passer sur le corps";Koza;0;164;3;
19;-"Protégez-la au péril de votre vie, valeureux guerrier";Koza;0;164;3;
20;-"Redis jamais ça! Je ne veux pas que vous mourriez, moi";Vivi;0;164;12;
21;-"Mais moi, chef, je ne veux pas que tu meures";Vivi;0;164;12;
22;-"Ce pays est devenu fou";Koza;0;164;19;
23;-"Je ne recherche ni l'argent, ni les honneurs";Crocodile;0;165;13;
24;-"Tu serais pas un peu jobarde?";Luffy;0;166;16;
25;-"On n'est pas dans un conte pour enfants, tu sais?";Luffy;0;166;16;
26;-"Nous, on est terrifié et on n'a aucune envie de se battre.";Koza;0;167;15;
27;-"Je vous l'ai dit: c'est le peuple qui fait une nation";Cobra;1;167;24;
28;-"Quel charisme...Dire que nous doutions de la justesse de sa décision";Chaka;0;167;25;
29;-"La puissance, la rapidité, ne sont d'aucune utilité contre moi";Robin;0;170;9;
30;-"Quoi de plus inutile que la confiance ?";Crocodile;0;170;13;
31;-"Je n'en peux plus de voir nos villes s'assécher";Koza;0;171;8;
32;-"Tu pourrais au moins faire semblant d'être innocent, par respect pour eux";Koza;0;171;15;
33;-""Ambigu", oui c'est ça mon petit mot préféré. Comme un poulpe cru dans un parfait au poulpe";Bon Clay;0;172;3;
34;-"Plus ignoble que ce type, tu meurs";Zoro;0;172;16;
35;-"Ne te surestime pas trop, misérable avorton";Crocodile;0;173;14;
36;-"Ce n'est pas nous qui ne pouvons plus sortir mais eux qui ne peuvent plus entrer";Sanji;0;174;19;
