id;citation;reponse;coeur;chapitre;page;trad officiel;
1;-"J'ai beau étudier la chose sous tous les angles, on ne m'ôtera pas de l'esprit qu'il s'agissait de pirate";Usopp;0;304;10;1;
2;-"Ils sont tellement longs qu'on n'en distingue même pas le sommet";Usopp;0;304;15;1;
3;-"Ah, je comprends mieux pourquoi vos visages ne me disaient rien";Tonjit;0;305;3;1;
4;-"Ce ne fut pas bien difficile de monter dessus...Mais ensuite je me suis rendu compte que j'avais peur de descendre";Tonjit;0;305;4;1;
5;-"N'accepte pas sa proposition!! Tu risques de tous nous perdre!!";Usopp;0;305;8;1;
6;-"Non, moi je préfère encore mourir plutôt de vivre couvert de honte";Zoro;0;306;14;1;
7;-"Vas-y mon gars, venge-nous! Balance-leur ta rage en pleine poire";Tonjit;0;306;16;1;
8;-"On coulera, c'est presque sûr";Robin;0;306;23;1;
9;-"Et alors, qui a dit que les poissons étaient interdits?!";Porche;0;306;24;1;
10;-"Tu crois que le moment est bien choisi pour bouquiner?";Nami;0;307;13;1;
11;-"Oups, je crois qu'on est repérés...Dommage...";Robin;0;307;17;1;
12;-"J'ai trouvé de quoi vous embêter";Foxy;0;307;19;1;
13;-"Serait-ce parce qu'elle ne croit à rien en ce monde qu'elle est si redoutable?";Lombric;0;308;12;1;
14;-"J'ai une question à lui poser! Que signifie "croire"?";Lombric;0;308;14;1;
15;-"Vous devriez pourtant savoir que ce genre de terme puéril ne fait plus sens sur grand line";Foxy;0;309;5;1;
16;-"Alors si tu es un homme, ferme-la, pose tes fesses sur cette chaise et regarde comment les choses se passent";Zoro;1;309;12;1;
17;-"Oh! Il te va super bien ce chapeau!";Zoro;0;310;3;1;
18;-"Parce qu'un sabreur sans ses sabres, c'est pas un peu la honte, non?";Sanji;0;310;6;1;
19;-"Je suis encore frais comme un gardon, surtout que je n'ai pas besoin de l'aide d'un sabreur";Sanji;0;310;17;1;
20;-"Quelle brute est-il pour s'en prendre ainsi à un pauvre arbitre sans défense?";Lombric;0;311;6;1;
21;-"Tu peux me filer un coup de main pendant dix secondes?";Zoro;0;311;19;1;
22;-"Avec des ingrédients de second choix comme vous, je ne peux rien préparer de bon";Sanji;0;312;7;1;
23;-"Certes, ce n'est pas défendu d'agir de la sorte, mais cela va à l'encontre des principes de la piraterie";Robin;0;313;7;1;
24;-"Sache qu'il y a une grande différence entre un jeu....et un combat";Foxy;0;313;10;1;
25;-"Moi je trouve pas ça très naturel comme façon de s'arrêter";Usopp;0;313;12;1;
26;-"T'as pas honte de vendre du pop-corn et un coca à ce prix-là?";Sanji;0;313;16;1;
27;-"Est-ce le champion qui fait la coupe afro...ou la coupe afro qui fait le champion?";Usopp;1;314;3;1;
28;-"Hein? Une bombe m'a parlé!!";Luffy;0;314;18;1;
29;-"C'est aussi ça, "le combat". La solitude du combattant dans toute sa splendeur";Lombric;0;315;12;1;
30;-"Mon beau poisson, je le découpe en fines tranches, pour en faire un bon carpaccio ou bien de délicieuses grillades";Foxy;0;315;17;1;
31;-"Tu n'as pas très bonne mine, chapeau de paille. Tu tiens à peine sur tes jambes";Foxy;0;316;15;1;
32;-"Même mort et enterré, je n'abandonnerai jamais mes compagnons";Luffy;0;316;19;1;
33;-"Quand j'y pense, je n'aurais plus aucune raison de rester pirate si je quittais cet équipage";Zoro;0;318;8;1;
34;-"Mais c'est qu'elle a une poitrine avantageuse, cette charmante demoiselle";Aokiji;0;319;5;1;
35;-"Ma devise, en tant que soldat de la marine, c'est "Une justice pépère"";Aokiji;1;319;6;1;
36;-"Je ne sais pas combien ça fait, mais c'est assez conséquent";Aokiji;0;319;6;1;
37;-"Tu ne vas tout de même pas écouter un type comme lui? C'est un soldat de la marine";Luffy;0;319;8;1;
38;-"Où veux-tu en venir? Si ton intention est de me capturer, alors fais-le";Robin;0;320;6;1;
39;-"Si je puis me permettre, il en va de même pour tous les pirates";Nami;0;320;17;1;
40;-"Tu crois qu'on peut se permettre d'avoir des doutes? C'est la vie de robin qui est en jeu, je te rappelle";Usopp;0;321;2;1;
41;-"Cette femme est née sous une très mauvaise étoile et vous ne pourrez pas porter ce fardeau très longtemps";Aokiji;0;321;13;1;
42;-"Il m'aurait été facile de te briser en mille morceau et de mettre un terme à ton existence mais j'avais une dette envers toi";Aokiji;0;321;14;1;
