id;citation;reponse;coeur;chapitre;page;Trad officiel;
1;-"Aucune idée. J'ai jamais été malade";Usopp et Sanji;0;130;5;1;
2;-"Il n'y a que comme ça que ce bateau peut atteindre sa "vitesse maximal"";Vivi;0;130;15;0;
3;-"Je n'ai jamais rencontré pareille navigatrice";Vivi;0;130;18;1;
4;-"Les grosse brutes dans ton genre, je les renvoie à la "réception"";Sanji;0;131;16;0;
5;-"Il y a des situations dans lesquelles la violence n'est pas une solution";Vivi;1;132;17;0;
6;-"C'est pas encore Noël mais je vais vous faire votre fête, vous deux";Sanji;0;133;8;1;
7;-"Vous voulez connaître mon secret pour rester jeune?";Kureha;1;134;5;1;
8;-"Ça, c'est le meilleur pourboire qu'on pouvait m'offrir";Kureha;0;134;19;1;
9;-"N'oublie jamais qu'à la douleur succède le soulagement";Kureha;1;134;19;0;
10;-"Je me demandais ce qui donnait ce goût de médicament";Wapol;0;137;26;0;
11;-"J'ai comme l'impression d'avoir le visage un peu enflé, non?";Usopp;0;139;3;1;
12;-"Je me demande parfois si ce n'est pas eux qui l'ont rendu malade";Vivi;0;139;5;1;
13;-"Les seuls patients que je laisse volontairement partir sont ceux qui ont guéri ou ceux qui sont morts";Kureha;0;139;15;1;
14;-"Je ne m'attendais pas à les voir si vite debout";Kureha;0;139;16;1;
15;-"Mes zabis... Saubez-les";Luffy;0;139;18;1;
16;-"Ce n'est pas un médecin mais une véritable psychopathe!";Sanji;0;140;8;1;
17;-"Mais je me disais que tu pourrais nous accompagner?";Nami;0;140;9;1;
18;-"Depuis quand a-t-on besoin d'une autorisation pour séduire un homme?";Nami;0;140;11;1;
19;-"Il a encore le coeur meurtri...Il porte des blessures que même un médecin ne peut soigner";Kureha;0;140;11;1;
20;-"Ne pleure pas, petite, je suis vraiment désolé... Je ne voulais pas leur faire de mal";Hiluluk;0;141;12;1;
21;-"Je parie plutôt que tu vas l'anéantir!";Kureha;0;141;14;1;
22;-"Je ne veux pas te faire de mal! Je ne vais pas te tirer dessus";Hiluluk;0;141;18;0;
23;-"Tu peux parler, et alors?";Hiluluk;0;142;2;1;
24;-"Le dénommé Dragon, un révolutionnaire. Les idées de cet homme sont dangereuses. Je vous prédis que dans cinq ou six ans, il sera devenu une terrible menace pour le gouvernement mondial";Talassa Lucas;0;142;6;1;
25;-"Oups! Ma main a malencontreusement glissé";Wapol;0;142;7;1;
26;-"Au contraire, c'est à moi de m'excuser de vous avoir bousculé";Vivi;0;142;7;1;
27;-"Si jeune et déjà éveillé aux problèmes politiques";Dalton;0;142;8;0;
28;-"La vie n'est pas facile quand on entre pas dans les normes mais il ne faut pas haïr les hommes pour autant";Hiluluk;1;142;9;0;
