id;citation;reponse;coeur;chapitre;page
1;-"Mon trésor? Je vous le laisse si vous le voulez";Roger;1;1;1
2;-"Ne me touche pas, la lâcheté est une maladie contagieuse";Luffy;0;1;21
3;-"Si tu braques ton pistolet sur quelqu'un, soit prêt à risquer ta vie";Shanks;0;1;33
4;-"Mais sous aucun prétexte je ne pardonnerai à ceux qui s'en prennent à mes amis";Shanks;0;1;35
5;-"Le roi des pirates, ça sera moi";Luffy;1;1;53
6;-"Cette femme est la plus.. la plus grosse et la plus moche de tout l'océan";Koby;0;2;19
7;-"Le moment est venu de prendre les armes et de se battre!!";Genzo;1
8;-"Vas t'en nami!! Et ne remet plus jamais les pieds dans ce village";Genzo;1
9;-"Nous formons une vraie famille";Belmer;0
10;-"Je ne veux plus t'entendre proférer de telle chose";Belmer;0
11;-"En ce qui me concerne, je n'ai qu'une parole";Arlong;0
12;-"Laisse moi juste te poser une question, elle est pas belle la vie?";Arlong;0
13;-"Va pour 'voyou', ça me plait bien";Nojiko;0
14;-"C'est pour eux aujourd'hui, nous devons rire de toute nos forces";Genzo;0
15;-"Parfois ça fait du bien de passer la journée à se goinfrer sans se soucier du reste";Sanji;0
16;-"Pas besoin de donner des coups de dents pour briser de la rocher";Luffy;0
17;-"Ma cupidité, ma lacheté, tout ça semble ridicule quand je vois ce que ce garçon a fait";Gyn;0
18;-"C'est ce qu'on a dans le ventre qui ferra la différence";Zeff;0
19;-"C'est pour ça que je déteste les petits froussards qui préfèrent mourir plutot que d'affronter la réalité";Nojiko;0
20;-"C'est moi et moi seul qui ai décidé de devenir roi des pirates";Luffy;0;2;15
21;-"Il n'est ici nulle question de finances mais de respect envers ma personne";Morgan;0;4;4
22;-"Les gradés ne commetent jamais d'erreur";Morgan;1;4;12
23;-"Que ce soit en bien ou en mal, mon nom retentira à travers le monde entier";Zoro;1;6;6
24;-"Cependant, tous les deux vous m'avez appris ce que signifiait "aller au bout de ses convictions"";Koby;0;7;7
25;-"Se mettre au garde-à-vous devant des pirates représente une grave entorse au règlement militaire de la marine";Un marine;0;7;20
26;-"Être pirate, c'est être prêt à risquer sa vie";Luffy;1;10;13
27;-"Vous n'avez pas honte d'être si nombreux à courir après une fille?";Zoro;0;10;20
28;-"Il continue de protéger le seul souvenir qu'il lui reste de son maître adoré";Doodle;0;12;14
29;-"Il y a des combats qu'un homme se doit de mener coûte que coûte!! Je n'ai pas raison gamin?";Boodle;1;14;7
30;-"Je vais pouvoir te prouver que tous les deux, on n'est pas du même niveau";Zoro;0;16;17
31;-"Si cette blessure insignifiante devait être la cause d'un revers face à un minable comme toi, alors il serait temps pour moi de m'inquiéter pour l'avenir";Zoro;0;17;3
32;-"Si toi tu deviens roi des pirates, alors je suis qui moi? Le bon dieu?";Baggy;0;17;20
33;-"On s'en fiche de savoir s'il fait plus froid au pôle nord ou au pôle sud";Rayleigh;0;19;8
34;-"Vous allez tous mourir, et en grandes pompes";Baggy;1;9;22
35;-"Je suis le seul à pouvoir leur faire des reproches et ne laisserai personne d'autre les traîner dans la boue";Boodle;0;21;15
36;-"Je suis bien obligée, les coups classiques ne te font rien";Nami;0;22;3
37;-"Tu devais être un véritable trésor au yeux de tes parents";Luffy;0;22;11
38;-"Ces coffres... ils sont vides";Gaimon;0;22;26
39;-"On vient à l'instant d'en faire notre déjeuner";Zoro;0;24;4
40;-"Je suis fier que mon père soit un pirate";Usopp;0;24;19
41;-"Moi je ne voulais pas choisir entre l'argent et la liberté, je voulais les deux";Kuro;0;26;6
42;-"La pitié? C'est parce qu'on admire ton courage qu'on souhaite te prêter main-forte";Zoro;0;28;3
43;-"Le seul présent que je convoite est cette maison et tout ce qu'elle contient";Kuro;0;28;7
44;-"Une journée comme les autres est sur le point d'y débuter et rien ne doit venir la perturber";Usopp;0;29;15
45;-"Nous faisions tout pour nous débarrasser d'un brave jeune homme tentant à tout prix de sauver son village et ses habitants";Merry;0;31;7
46;-"Vous n'avez pas complètement tort car j'ai perdu de ma superbe durant ces trois années";Kuro;0;33;7
47;-"C'est très simple. Parce qu'il y a ici un homme que je souhaite voir rester en vie";Luffy;0;36;24
48;-"Même à la tête d'un équipage de plus de cent hommes, tu ne réussirais jamais à le battre";Luffy;0;38;13
49;-"Mes plans, mes plans n'échouent jamais";Kuro;1;39;17
50;-"La seule raison qui justifie qu'un pirate renié son nom, c'est la mort";Luffy;1;40;4
51;-"Je proclame aujourd'hui la dissolution de l'équipage du capitaine *****";Usopp;1;40;18
52;-"Je préfère être idiot plutôt que de t'entendre parler de la mort";Usopp;0;41;17
53;-"Si des excuses suffisaient à résoudre tous les problèmes, la police serait inutile";Johnny;0;42;13
54;-"Je vous répète que je ne suis pas "garçon"";Sanji;0;43;16
55;-"Mes connaissances en entomologie sont malheureusement extrêmement limitées";Sanji;0;43;17
56;-""Payer"... Depuis quand l'argent remplit-il l'estomac ?";Sanji;0;43;18
57;-"Ça fera 10 000 berrys, merci laideron";Patty;0;44;8
58;-"Il ne s'agit pas d'une requête de ma part mais d'un ordre! Et personne ne discute jamais mes ordres";Don Krieg;0;47;5
59;-"N'est ce pas, monsieur le vaincu de grand line?";Zeff;0;47;18
60;-"J'ai abandonné l'idée de faire de vieux os le jour où j'ai décidé de réaliser mon rêve. J'en assume dès lors les conséquences mais demeure le seul autorisé à me reprocher quoi que ce soit";Zoro;0;49;6
61;-"Ce navire n'est pas une exception et je n'ai pas souvenir d'avoir promis quoi que ce soit à quelqu'un ici";Nami;0;50;6
62;-"Sans souplesse dans le geste, la force ne sert à rien";Mihawk;0;50;15
63;-"Je ne suis pas de ces idiots qui gaspillent toute leur énergie pour chasser une simple proie";Mihawk;0;51;4
64;-"Telle la grenouille au fond de son puit tu ignores l'étendue de ce monde. Laisse moi te montrer ce qu'il en est";Mihawk;1;51;5
65;-"J'ai l'impression que si je fais ne serais ce qu'un pas en arrière, toutes mes promesses, tous mes serments seront définitivement rompus";Zoro;0;51;14
66;-"Il n'y a pas pire humiliation pour un guerrier que d'être frappé dans le dos";Zoro;1;51;19
67;-"Je fais le serment de ne plus jamais perdre un seul combat";Zoro;0;52;16
68;-"Le couteau d'un cuistot, c'est son âme";Sanji;0;54;18
69;-"Danger, Danger, Danger imminent";Pearl;0;55;4
