id;citation;reponse;coeur;chapitre;page;
1;-"Une fois qu'il sera rétabli, je crains fort qu'il ne décide de laver lui-même l'affront qui nous a été fait";Brannew;0;581;15;1;
2;-"Mieux vaut être déclaré 'Mort au combat pendant la guerre au sommet' que 'supprimé par le gouvernement'";Doflamingo;0;581;18;1;
3;-"Vous croyez qu'il y a des ourses?";Bepo;0;582;8;1;
4;-"Wow tu sais vraiment pas mentir";Porchemy;0;583;17;1;
5;-"Sale avorton, tu penses que tu es un homme juste parce que tu sais garder un putain de secret, hein?";Porchemy;0;584;8;0;
6;-"Une fois que j'ai décidé d'affronter quelqu'un, jamais je ne m'enfuis";Ace;0;584;11;1;
7;-"Parce que je n'ai personne d'autre que toi sur qui compter";Luffy;0;584;15;1;
8;-"Ils n'aiment que les enfants qui assureront leur 'rang' et leur 'patrimoine'. Ce qui n'est pas mon cas";Sabo;0;585;11;1;
9;-"Ne t'approche pas de la décharge. Ceux qui habitent là-bas ne sont pas humains";Outlook III;0;585;12;1;
10;-"Même s'il y en a qui ne veulent pas reconnaître mon existence et d'autres qui me détestent, je deviendrai le plus grand des pirates et leur montrerai qui je suis vraiment";Ace;0;585;13;1;
11;-"Où que nous soyons quoi que fassions, nous resterons toujours unis";Ace;0;585;15;1;
12;-"Remarque, il aurait mieux valu pour moi que le fils naturel de cette famille disparaisse, mais bon";Stelly;0;586;8;1;
13;-"Les autorités vont brûler tout ce qui entache la réputation de ce pays";Stelly;0;586;10;1;
14;-"L'odeur qui émane de cette ville... est encore plus nauséabonde que celle de la décharge";Sabo;0;586;18;1;
15;-"Ainsi, tu as donc fini par forcer tes enfants à dire ce genre de chose";Dragon;1;586;19;0;
16;-"Oui, c'est vrai. Ils n'avaient qu'à être nobles, ces idiots";Une fille de noble;0;587;4;1;
17;-"Les humains sont de drôles de créature, tout de même. Plus ils plongent dans le malheur, plus ils ont envie de rire";Bluejam;0;587;6;1;
18;-"Une femme et un mioche. On peut dire que je suis gâté. Si j'étais vous je ferais attention. Ceux qui ont trop confiance en eux finissent souvent dans une mare de sang";Bluejam;0;587;14;1;
19;-"Ce que je redoute par-dessus tout, c'est de me faire engloutir par cette société et de perdre mon humanité";Sabo;0;588;3;1;
20;-"Tout navigateur arborant le pavillon noir doit être considéré comme un pirate";Saint Jalmack;0;588;7;1;
21;-"Si quelqu'un avait le malheur de le fâcher, il pouvait devenir brutal, perdre patience et n'en faire quà sa tête. En revanche, il se comportait avec un naturel et d'une franchise dignes d'un petit garçon";Garp;0;588;13;1;
22;-"Si tu peux grandir et devenir ce genre d'homme, alors là et seulement là, tu pourras vivre et mourir comme tu l'entendras";Dadan;0;588;17;0;
23;-"Il est encore fragile et pleurnicheur, mais c'est notre petit frère. Je compte sur toi pour prendre soin de lui";Sabo;0;588;19;1;
24;-"Je crois bien que ton pouvoir en caoutchouc ne te sera pas d'une grande utilité dans les combats";Ace;0;589;10;1;
25;-"Bouhouuuh! Ce bon à rien se fiche encore de moi";Dadan;0;589;15;1;
26;-"Je déteste toujours autant les brigands, mais vous, je vous aime bien";Luffy;0;589;17;1;
27;-"Je suis tellement faible";Luffy;1;589;20;1;
28;-"Ta mission en tant que soldat est plus importante que ta famille, c'est ça?";Dadan;0;590;6;1;
29;-"Non, tu te trompes.. C'est lui qui soffre le plus";Dadan;0;590;7;1;
30;-"Il n'a pas changé, il est toujours aussi fou... Mais sache que peu importe le genre de pirate qu'il deviendra, je serai toujours de son côté";Dadan;0;590;8;1;
31;-"C'est en faisant l'expérience de la victoire et de la défaite, en choisissant parfois la fuite et en versant aussi des larmes que l'on devient un homme";Shanks;1;590;10;1;
32;-"J'ai bien peur que ce mur gigantesque qu'est le monde ne soit en train de te rendre aveugle";Jimbei;0;590;15;1;
33;-"Arrête de penser à tout ce que tu as perdu! Tire un trait sur le passé et ressaisis-toi! Pense plutôt à ce qu'il te reste";Jimbei;1;590;16;1;
34;-"Dans ce cas-là, que doit-on faire pour se marier?";Hancock;0;591;5;1;
35;-"Aah, l'intuition féminine est quelque chose d'effrayant";Rayleigh;0;591;11;1;
36;-"Ce n'est pas de la salive qui soignera tes blessures! Où est-ce que t'as appris ces remèdes de grand-mère?";Zoro;0;592;7;1;
37;-"Si c'était pour de faux, alors pourquoi pleurez-vous encore, mademoiselle?";Haredas;0;592;13;1;
38;-"Tiens, la marque des pirates. 'CLICK'";Franky;0;592;16;1;
39;-"Je n'ai pas besoin qu'on me protège, j'ai des amis pour ça";Robin;0;593;5;1;
40;-"Je suis un homme, un vrai, qui aime les femmes";Sanji;0;593;10;1;
41;-"Ceux qui ne sont pas prêts à mourir n'ont pas leur place sur cette mer";Kid;1;594;14;1;
42;-"Il n'y en a qu'un qui avait l'air un peu moins futé que les autres, mais même lui devrait saisir le sens de ton acte";Rayleigh;0;594;16;1;
43;-"Tout d'abord, je déteste les plaisanteries. Et ensuite, je lis la mort sur ton visage";Hawkins;0;594;19;1;
44;-"Auriez-vous besoin d'un parapluie?";Une vieille femme de l'ile des éclairs;0;594;20;1;
45;-"Moi, je veux une femme qui ait de la classe! Qui soit distinguée! La vulgarité, j'ai déjà ce qu'il faut avec cette bande de tarés";Barbe Noire;0;595;11;1;
46;-"Les mecs dans ton genre ont peut-être de l'influence au sein du gouvernement mais moi, j'suis un pirate et vos règles, je m'assois dessus";Doflamingo;0;595;13;1;
47;-"À première vue, ils ont l'air ultra primitifs mais leur civilisation est en fait très avancée! J'ai beaucoup à apprendre d'eux";Chopper;0;595;16;1;
48;-"Alors si c'est pour te venir en aide, je serai prêt à tout! Même à devenir un veritable monstre";Chopper;0;595;17;1;
49;-"Savais-tu que si 100% de la population terrestre se mettait à boire du laitn le crime disparaîtrait de la surface du monde?";Ivankov;0;595;18;1;
50;-"Je ne suis pas né pour devenir l'ami des femmes mais pour les aimer passionnément";Sanji;1;595;20;1;
51;-"Le moins que je puisse faire pour mon capitaine est de le conduire là où il le souhaite";Nami;0;596;7;1;
52;-"Un corps faisant un angle inférieur à 45 degrés est voué à tomber";Brook;0;596;11;1;
53;-"Le mot 'solitude' a été effacé de mon dictionnaire";Brook;0;596;11;1;
54;-"Je ne peux me risquer à me retrouver coincée dans un lieu clos sans aucune échappatoire";Robin;0;596;14;1;
55;-"C'est la première fois de ma vie que j'éprouve le besoin de me renforcer pour quelqu'un en particulier";Robin;0;596;14;1;
56;-"S'il y a un capitaine capable de le baptiser sous ce nom-là, c'est bien toi";Franky;0;596;17;1;
57;-"Je m'étais toujours dit qu'il réaliserait son rêve tôt ou tard. Qu'il deviendrait à coup sûr le roi des pirates et que je n'aurais rien d'autre à faire que de le suivre des yeux";Usopp;0;596;21;1;
58;-"Veux-tu donc faire d'un ennemi ton maître?";Mihawk;1;597;3;1;
59;-"Rendez-vous dans deux ans sur l'archipel des Sabaody";Les mugiwara;0;597;7;1;
60;-"Luffy au chapeau de paille va prendre un congé temporaire";Luffy;0;597;17;1;
