id;citation;reponse;coeur;chapitre;page;trad officiel;
1;-"Ce serait dommage de gâcher mes boulets pour des types aussi faibles que vous";Zambai;0;377;12;1;
2;-"Règle d'or du parfait combattant: ne jamais quitter son adversaire des yeux";Lulu;0;377;13;1;
3;-"Je n'ai qu'une envie, c'est de les pulvériser au plus vite et de retourner me coucher";Kashii;0;377;16;1;
4;-"Ouais! Et moi je suis tout seul. Maintenant laissez-moi passer";Luffy;0;377;17;1;
5;-"La vérité, c'est qu'on ne fait pas d'omelette sans casser des oeufs";Spandam;0;379;12;1;
6;-"Je suppose que ça te rend encore plus pitoyable, toi tu n'as même pas de nom";Zoro;0;381;2;0;
7;-"Quand vous reverrez ces crapules, dites-leur qu'ils sont virés";Pauly;0;381;17;1;
8;-"Aussi longtemps que nous serons ici, le moindre meurtre sera justifié";Lucci;0;382;15;0;
9;-"Vous en faites pas! On va pas vous bouffer, on a plus faim";Franky;0;383;4;1;
10;-"Nous allons tout détruire pour assouvir notre colère";Kashii;0;384;18;0;
11;-""Attachez vos ceintures!!" C'est ce qu'il dit";Chopper;0;385;14;0;
12;-"Un cul-de-sac? Je ne vois pas de quoi ils parlent";Zoro;0;385;18;1;
13;-"Vous allez voir ce qu'il en coûte d'ignorer le président du tribunal";Baskerville;0;387;8;1;
14;-"Que ces gens meurent ou vivent, ce qu'ils font restera dans les mémoires";Kokoro;1;388;16;0;
15;-"Si tu gardes ce regard, ils ne pourront rien faire pour toi";Franky;0;389;7;0;
16;-"C'est parce que vous n'êtes capable d'envisager le monde que sous cette angle que vous pouvez commettre des choses aussi atroces";Robin;0;391;12;1;
17;-"Le savoir réside dans le passé";Clover;1;392;3;1;
18;-"Et nous sommes déjà allés trop loin, nous ne pouvons plus faire marche arrière";Clover;0;392;6;0;
19;-"J'ai l'impression de déjà voir le destin de robin";Clover;0;392;7;0;
20;-"Le rire est une thérapie pour devenir heureux";Sauro;0;392;17;0;
21;-"Saviez-vous que la forêt de cette île est très mal famée? J'ai failli me faire tuer";Spandine;0;394;15;1;
22;-"Qu'importe les erreurs du passé! C'est l'histoire que nos ancêtres ont bâtie et nous devons l'accepter";Clover;0;395;5;1;
23;-"J'ai voulu faire ça depuis toujours";Robin;0;396;5;0;
24;-"Nous ne renonçons pas pour autant à l'avenir que vous bâtirez";Olvia;1;396;10;1;
25;-"Est-ce ta faiblesse qui te fait agir comme ça?";Sauro;0;396;12;0;
26;-"Je ne sais pas qui as tort ou raison. Mais vous pouvez croire que je protègerai une amie";Sauro;0;396;18;0;
27;-"La justice revêt plusieurs visages suivant l'angle où l'on se place";Aokiji;0;397;11;1;
28;-"C'est ça que tu appelles la justice? Tu pourras encore te regarder dans une glace après ça?";Sauro;0;397;12;1;
29;-"En ce bas monde, la solitude n'existe pas";Sauro;1;397;15;1;
30;-"Pardonne-moi. Je n'ai même pas pu te laisser des paroles dignes d'une mère";Olvia;0;397;16;1;
31;-"La justice peut rendre les gens fous";Aokiji;1;397;17;0;
32;-"Oh, j'allais oublié. Avant de passer à table, il y a des visiteurs pour toi";Une vielle dame qui a "vendu" Robin;0;398;6;1;
33;-"Je veux que tu fasses disparaître ce drapeau";Luffy;0;398;13;0;
34;-"Dis-moi que tu veux vivre";Luffy;0;398;16;1;
35;-"Je veux vivre";Robin;1;398;18;1;
36;-"Qui c'est qui a demandé be benir be bauver?";Franky;0;399;13;1;
37;-"Hormis mon apparence je suis pas du genre à faire souffrir mes victimes";Jabura;0;401;15;1;
38;-"On est où ici, au zoo?";Zoro;0;401;16;1;
39;-"Vous les gars vous vous contentez d'imiter le métal";Franky;0;402;16;1;
40;-"Quand tu auras rejoint l'au-delà, n'oublie pas de transmettre ce message à ma chère mère";Kumadori;0;403;9;1;
41;-"Je préfère mourir plutôt que de m'en prendre à une femme;Sanji;1;403;14;1;
42;-"Parce que je n'en ai pas reçu l'ordre";Lucci;0;404;3;1;
43;-"Et ben moi je dis que tu es un mollasson";Fukuro;0;404;9;0;
44;-"Quel genre de crétin devient plus fort en buvant du cola?";Chopper;0;404;13;0;
