id;citation;reponse;coeur;chapitre;page;
1;-"Comme j'ai fait copain-copain avec eux, je n'ai pas pu me résoudre à manger leur viande";Luffy;0;598;3;
2;-"Alors, beauté, ça te dirait de boire un verre avec moi?";Usopp;0;598;12;
3;-"Ces blessures sont le gage de mon sens de l'honneur";Duval;0;598;15;
4;-"Ça va, je me suis déjà excusé! Ça peut arriver à tout le monde";Faux Luffy (Demalo Black);0;598;21;
5;-"Nul ne doit prendre connaissance des lien qui nous unissent";Hanckock;0;599;3;
6;-"Tu veux dire que je suis un grand barjo, c'est ça? Toi tu sais parler aux hommes";Franky;0;599;10;
7;-"Avant d'embarquer, il fallait vérifier à deux fois que vous n'aviez pas un oiseau de malheur à bord";Zoro;0;599;18;
8;-"Le n*7 se permet de donner des ordres au n*1?";Zoro;0;600;7;
9;-"Seigneur miséricordieux! Pardonne à ce pauvre marin! Accorde ta grâce à cette imbécile qui n'a pas hésité à saisir son arme pour me tuer";Caribou;0;600;10;
10;-"Vous prétendez que Luffy est mort? Absurde! Répandez la nouvelle dans le monde entier ! Luffy au chapeau de paille est bel et bien vivant";Brook;1;600;14;
11;-"Ce n'est pas dans le silence mais en fanfare que son départ doit être célébré, oh baby!";Brook;0;600;15;
12;-"Bien envoyé, la musique est toujours de notre côté";Brook;0;600;15;
13;-"Veuillez maintenir votre doigt en place plus de trois secondes";Franky;0;600;17;
14;-"Ok, je vais te faire un résumé. 'Marine'.. 'Venir'... 'Nous'.. 'Bateau'... 'Fuir'..";Sanji;0;601;4;
15;-"Il n'y a aucune comparaison possible entre chapeau de paille et un bon à rien comme toi";Sentomaru;0;601;10;
16;-"Trop lent";Luffy;0;601;13;
17;-"Atteints les plus hauts sommets de ce monde!";Rayleigh;0;602;3;
18;-"Le premier qui perturbera le départ de mon disciple aura à goûter la lame de mon épée";Rayleigh;0;602;4;
19;-"C'est vous qui êtes sur ma route. Un vaisseau n'a absolument rien à y faire";Hanckock;0;602;9;
20;-"T'es vraiment sûr t'es allé t'entraîner, espère de faux frère?";Sanji;0;602;10;
21;-"J'en sais rien, j'ai l'impression que quelqu'un m'écrabouille le coeur";Sanji;0;602;14;
22;-"C'est le destin qui a voulu qu'on se rencontre. Ça te dirait de changer le monde avec moi?";Roger;0;603;7;
23;-"Mais gardez-le à jamais dans un coin de votre cœur. Il était et restera un glorieux bienfaiteur de notre équipage";Franky;0;603;16;
24;-"Une créature sans 'os' et 'une ossature sans chair". J'ai l'impression de rencontrer mon parfait antagoniste";Brook;0;605;4;
25;-"Sors-moi d'ici, cher monsieuur. Mon cher ami bien moulé du sliiip. Tu pourras faire de moi ton esclaaave personneeel";Karibou;0;606;7;
26;-"Les morts n'ont pas besoin de bijoux, la rancune ne brille pas dans le noir. Cherchez donc, cherchez donc. Mon trésor perdu dans les flots car je suis le plus riche qui soit en ce monde. Je suis...";Vander Decken IX;0;606;11;
27;-"Une vie longue sans voir mon rêve se réaliser serait une vie gâchée. Je préfère encore mourir en regardant des créatures de rêve écaillées";Sanji;0;607;11;
28;-"Mais qu'est-ce que je fais, moi? Une soupe froide ne pourra jamais vous réchauffer";Keimi;0;608;12;
29;-"Tu pleurais pas autant quand t'as fait tes adieux au 'Baratie'";Luffy;0;608;16;
30;-"Tout s'éclaire.. Autant de bonheur en si peu de temps, c'est tout bonnement impossible. Ma dernière heure doit être arrivée";Sanji;0;608;16;
31;-"Vous ne trouverez personne assez niais pour donner son sang à une sous-espère comme la vôtre";Hammond;0;609;10;
32;-"Nous les cherchions pour un tout autre motif-ré-mi-faaa";Ryuboshi;0;609;17;
33;-"J'espère sincèrement me tromper, je le souhaite de tout coeur. Il... Il va sceller notre perte! De ses propres mains, ce garçon va anéantir notre île";Shirley;0;610;16;
34;-"En ce jour, comme les précédents, reçois, en gage de mon amour, cette rose en forme de hache";Vander Decken IX;1;613;3;
35;-"Ta vie se résume à ce choix: 'Le mariage' ou 'la mort'";Vander Decken IX;0;613;4;
36;-"Croyez bien que nous aurions préféré offrir un banquet aux sauveurs de Mégalo plutôt que des menottes";Ministre de la droite;0;613;9;
37;-"C'est pas parce qu'une prophétie annonce un truc qu'il faut nous enfermer pour autant";Usopp;0;613;14;
38;-"J'aimerais prendre le temps de réfléchir si on peut vraiment arrêter quelqu'un sous prétexte qu'il représente une menace future";Neptune;0;613;15;
39;-"Moi, dès que j'entends de la musique, pas question de manquer les festivités";Zoro;0;613;16;
40;-"T'es une vraie brailleuse. Et une poule mouillé";Luffy;0;614;15;
41;-"Je suis votre successeur, idéologiquement parlant. Et je respecte toujours le lieutenant que tu étais";Hody Jones;0;615;10;
42;-"Mon amour comme mes armes poursuivent leur cible jusqu'au fin fond de l'enfer";Vander Decken IX;0;615;14;
43;-"À ce propos, parmis tes ancêtres, il y avait un robot?";Den;0;616;12;
44;-"Te rendre ta fille alors qu'elle n'est pas encore ma femme? Ne te précipite pas, cher futur beau-père";Vander Decken IX;0;616;15;
45;-"Nous avons manqué à notre promesse de vous rendre tous les otages sains et saufs, sans exception";Zoro;0;617;11;
46;-"Les mots se révèlent insuffisants. Et mon imagination est bien trop limitée pour décrire cette perfection";Sanji;0;618;4;
47;-"Désolée, mais vous n'êtes pas mon type";Shirahoshi;1;618;7;
48;-"Ah, d'accord. C'est un maître qui s'occupe du revêtement de ton petit frère";Luffy;0;619;12;
49;-"Tu obliges le peuple à fouler le portrait de feu ma mère?";Fukaboshi;0;620;7;
