id;citation;reponse;coeur;chapitre;page;trad officiel;
1;-"Il m'a dit "je t'aime"";Hancock;0;526;11;1;
2;-"Je me suis fait couper en deux! C'est pas super pratique, pour courir";Baggy;0;526;18;1;
3;-"Toi et Shanks, vous êtes vraiment d'indécrottables optimistes...";Baggy;0;526;21;1;
4;-"Donc si j'ai bien compris, c'est parce que t'es nul qu'ils t'ont enfermé ici?";Luffy;0;527;11;1;
5;-"Tant qu'il y a du sol, j'me marre";Baggy;0;527;16;0;
6;-"Ah, quels surbordonnés sans-coeur m'a-t-on attribués..."Haaaaaaaaa"";Magellan;0;528;7;0;
7;-"Dites, monsieur le directeur, j'ai vraiment hâte d'aller voir le prisonnier";Hancock;0;528;9;1;
8;-"Je suis homme à payer mes dettes";Mr 3;0;528;15;1;
9;-"Suis-je donc personne en voulant éviter l'affrontement?";Jinbei;0;528;16;0;
10;-"Le gouvernement ne peux pas ignorer les conséquences catastrophiques qu'aurait sa mort sur la paix et la stabilité dans le monde";Jinbei;0;529;4;1;
11;-"Caleçon! Caleçon à fleurs! Steak de Bœuf!";Manticore;0;529;9;1;
12;-"Tortellinis.. Gnocchis! Tagliatelles.. Macaronis!";Sphinx;0;529;11;1;
13;-"Vu l'ampleur des événements, ôter la vie à un vieillard comme moi risque de ne pas changer grand chose";Garp;0;530;6;1;
14;-"Ce cri de douleur... Quelle jouissance";Sadi;0;531;4;1;
15;-"J'ai super envie de devenir directeur!! Euh... Je voulais dire...";Hannyabal;0;531;7;1;
16;-"N'oubliez jamais que j'ai le droit et le pouvoir de tous vous exécuter";Magellan;0;531;11;1;
17;-"Au fait, il m'a également confié qu'il avait peur que tu te fâches contre lui";Hancock;0;531;12;1;
18;-"Aah, c'est la cata. Il a ruiné mon maquillage! Vite, mes produits de beauté! Et mes pointes! Et mon tutu, et mes armes!";Bonclay;0;532;11;1;
19;-"J'aime les endroits confinés, moi, confinés comme mon coeur";Magellan;0;533;10;1;
20;-"Alors je préfère sacrifier ces mains et te foutre la branlé de ta vie";Luffy;0;534;17;0;
21;-"24 heures d'agonie, pour ensuite connaître ce qu'est le véritable enfer";Magellan;0;535;12;1;
22;-"Parce que nous sommes amis!! Et je n'ai besoin d'aucune autre raison";Bonclay;0;535;20;1;
23;-"L'excitation est trop forte..mon anémi est...est...est";Ivankov;0;537;9;1;
24;-"Ce n'est pas important un nom. Ça peut être tout et n'importe quoi. Même 'Tas de merde' ne m'dérange pas";Ivankov;0;537;10;1;
25;-"Deux mère, une fille. C'est quoi le problème?";Ivankov;0;537;14;1;
26;-"Un homme, une femme, un travesti, suis la voie qui te convient. Le sexe n'est qu'une barrière";Ivankov;0;537;15;1;
27;-"Dans cette situation, seul un démon serait resté sans rien faire";Ivankov;0;537;17;1;
28;-"A compter de cet instant, survivre ou mourir ne dépendra que de la force de ta volonté";Ivankov;0;538;4;1;
29;-"Seuls ceux qui n'abandonnent jamais peuvent prétendre aux miracles";Ivankov;1;538;8;1;
30;-"Je suis un ingénieur du corps humain";Ivankov;0;538;9;1;
31;-"A MANGEEEEEEEEEEEEEEEEEEER";Luffy;0;538;13;1;
32;-"Les décisions sont toujours prises soudainement";Ivankov;0;539;13;1;
33;-"Etre déterminé est une chose, mais je ne vois personne sortir d'ici";Inazuma;0;540;13;1;
34;-"Hisashiburi Dana Mugiwara";Crocodile;0;540;13;1;
35;-"J'ai l'intention de quitter cet endroit, mais du renfort ne serait pas de refus. Alors? Ca te dit de m'accompagner?";Crocodile;0;541;16;1;
36;-"Une fois que tu seras enchaîné en haut de l'échafaud, le ciel te sera retiré à tout jamais";Onigumo;0;542;4;1;
37;-"Hey, ça vous dit de revenir à la salle de surveillance pour casser la croûte?";Hannyabal;0;542;8;1;
38;-"Je suis d'humeur féminine aujourd'hui";Ivankov;0;543;7;1;
39;-"Pour protéger le futur d'innocentes personnes, je te condamne à la peine de mort";Hannyabal;0;543;8;1;
40;-"Si elle venait à s'effondrer, le monde risque d'être submergé par la peur";Hannyabal;0;543;13;1;
41;-"T'auras beau chercher toute ta vie, tu ne trouveras aucune réponse, espèce d'abruti";Barbe Noire;1;543;14;1;
42;-"Dans quelques heures, nous vous offrirons un spectacle qui fera trembler le monde";Barbe Noire;0;544;16;1;
43;-"Tu es la seule personne digne de me succéder";Magellan;1;544;20;1;
44;-"On dirait que ton optimiste de merde devient contagieux";Mr 3;0;545;18;1;
45;-"Les portes de la justice ne s'ouvriront jamais devant des pirates de votre espèce";Marine;0;548;6;1;
46;-"Un adieu à la okama doit se faire dans le silence";Bonclay;0;548;12;1;
47;-"Pourquoi? Pourquoi tu finis toujours par me sauver?";Luffy;0;548;14;1;
48;-"Surtout, sois sûr de sauver ton frère";Bonclay;0;548;16;1;
49;-"Les vrais perdants sont ceux qui redoutent la mort";Barbe Noire;0;549;4;1;
50;-"Je suppose que parmi ta race de barbares, tu es l'exception qui confirme la règle";Crocodile;0;549;7;1;
51;-"Laisse tomber, pas de notre faute si t'es con et lent à la détente";Crocodile;0;549;9;1;
52;-"...Tin, ça me rend nostalgique tout ça. Ce bon vieux vice capitaine. Où as-tu bien pu..?";Baggy;0;549;14;1;
53;-"Si vous êtes des hommes, ça vous dit de m'accompagner et de rêver aux hautes strates?";Baggy;1;549;17;1;
