id;citation;reponse;coeur;chapitre;page;trad officiel;
1;-"Non mais on n'est pas en train de prendre de photos tu sais?";Nami;0;220;14;1;
2;-"Il a tiré au hasard, et ces pauvres mouettes n'ont pas eu de chance, c'est tout";Usopp;0;222;9;0;
3;-"Il faut faire de la muscu, mon gars";Burguess;0;222;13;1;
4;-"Tu peux toujours miser ton futal";Roshio;0;222;14;1;
5;-"T'as une veine de tous les diables";Doc Q;0;223;7;0;
6;-"T'as les papilles gustatives endommagés ou quoi?";Teach;0;223;17;0;
7;-"Eh ben! Je rencontre que des géants, moi, aujourd'hui";Luffy;0;224;4;1;
8;-"On doit servir que de la bibine, ici! Et pas une table de libre, en plus";Narquiss;0;224;5;0;
9;-"Le temps où les pirates pouvaient rêver de tout et n'importe quoi est révolu";Bellamy;0;224;15;1;
10;-"Surtout ne rentre pas dans leur jeu";Luffy;0;224;18;1;
11;-"Désolée, mais dans un équipage de minables comme la vôtre mes talents seront gâchés";Nami;0;225;8;1;
12;-"les hommes ne cesseront jamais d'avoir des rêves";Teach;1;225;12;0;
13;-"Il est des combats qu'on ne gagne pas avec les poings";Teach;1;225;14;1;
14;-"T'appelles ça réparer? C'est du rapiéçage, ouais";Sanji;0;225;18;1;
15;-"Sache avorton, que lorsque ma fureur éclate il ne reste qu'une mer de sang";Shôjô;0;226;14;0;
16;-"Ah oui! Il vole bien en plus";Shôjô;0;228;5;1;
17;-"C'était le grand-père du grand-père du grand-père du... Enfin, c'est un très lointain ancêtre";Cricket;0;228;8;1;
18;-"Parce que tout le monde connaissait son irréprochable honnêteté";Cricket;0;228;8;0;
19;-"Je veux juste régler mes comptes avec celui qui a ruiné ma vie";Cricket;0;228;13;1;
20;-"Tu dis n'importe quoi! Il fait "gris" quand il y a des nuages, pas noir";Luffy;0;229;4;1;
21;-"Un phénomène naturel d'une telle ampleur ne saurait se résumer à des mots et à des théories";Cricket;0;229;9;1;
22;-"Je suis heureux d'avoir pu faire la connaissance de types aussi timbrés que vous";Cricket;0;229;15;1;
23;-"Je vous offre mon hospitalité pour cette nuit, mes amis";Cricket;0;229;15;0;
24;-"J'ai vu de l'or dans l'oeil droit de la tête de mort";Norland/Cricket;0;229;17;1;
25;-"Ça veut dire que t'es encore plus bête qu'un pigeon";Luffy;0;230;8;1;
26;-"Waouh, ça c'est un cri bizarre";Luffy, Zoro, Sanji, Chopper, Usopp;0;230;10;1;
27;-"Je n'ai aucune leçon de piraterie à recevoir d'un jeune morveux qui n'a même pas le cran d'affronter ses rêves";Cricket;1;231;14;1;
28;-"Je serai de retour avant le lever du jour";Luffy;0;231;19;1;
29;-"Tu sais donner un coup de poing? HA HA HA";Bellamy;0;232;13;1;
30;-"Tu m'as demandé si j'avais déjà frappé quelqu'un, c'est ça?";Luffy;0;232;17;1;
31;-"Un combat où seul reste la pitié après coup c'est vraiment chiant";Zoro;0;233;6;0;
32;-"Il ne faut jamais, au grand jamais, s'en prendre à un membre de l'équipage de barbe blanche";Baggy;0;233;13;1;
33;-"Sois gentil. Arrête ces enfantillages";Tsuru;0;234;2;0;
34;-"La marine et les sept puissants corsaires, que peut-on attendre d'une table ronde avec deux groupes en conflit?";Mihawk;0;234;7;0;
35;-"Qu'y a-t-il de mal à boire quand on en a envie?";Barbe Blanche;0;234;11;1;
36;-"Je ne parle pas aux morveux écervelés";Barbe Blanche;0;234;12;0;
37;-"Y en aura toujours pour se moquer de nous. Mais on s'en tape! Parce que c'est ça la vrai aventure";Cricket;0;235;8;0;
38;-"Puisque nous sommes face à un courant marin et qu'il y a du vent, il suffit de "naviguer"";Nami;0;236;16;1;
