id;citation;reponse;coeur;chapitre;page;trad officiel;
1;-"Non, en fait... Elle a plutôt leurré le monde entier";Sengoku;0;550;14;1;
2;-"Un enfant qui n'est pas encore né n'est coupable d'aucun crime";Roger;0;550;16;1;
3;-"Je te fais confiance comme je fais confiance à mon équipage";Roger;0;551;6;1;
4;-"Si tu as toujours le courage de te battre, prend mon nom, arbore-le fièrement sur ton dos et sévis à travers les océans jusqu'à satiété";Barbe Blanche;1;552;10;1;
5;-"Ça vous gène pas de me retenir sur ce navire sans même me ligoter?";Ace;0;552;10;1;
6;-"Mais ce qu'il dit nous fait vraiment plaisir même si ce n'est qu'un mot";Marco;0;552;12;1;
7;-"Peu importe qui t'a mis au monde, nous sommes tous les enfants de la mer";Barbe Blanche;0;552;13;1;
8;-"Car cet homme a le pouvoir de détruire le monde";Sengoku;0;552;17;1;
9;-"Même si je me retirais à l'autre bout de la mer, je ne trouverai pas d'endroit assez sûr";Tsuru;0;553;8;1;
10;-"J'essaie juste d'estimer, puisqu'il est si proche, la vraie différence de puissance entre lui et moi";Mihawk;0;553;8;1;
11;-"Tu ne peux pas t'en prendre si simplement au 'seigneur', tu sais";Marco;0;553;10;1;
12;-"Repars allumer des bougies d'anniversaire, gamin-volcan";Barbe Blanche;0;554;7;1;
13;-"Il y a un fossé entre jouer les héros et courir tête baissée vers la mort";Barbe Blanche;0;555;5;1;
14;-"Si tu tiens tellement à ta famille, épargne-leur de vivre dans la honte";Akainu;0;556;7;1;
15;-"La justice l'emportera, vous dites? Et comment qu'elle va l'emporter! Parce que celui qui remporte cette guerre deviendra l'unique justice";Doflamingo;1;556;9;1;
16;-"Les pirates ne m'inspirent aucune compassion, mais la famille, c'est différent";Garp;1;556;11;1;
17;-"Encore et toujours ta maudite famille";Sengoku;0;557;10;1;
18;-"Pourquoi respecter un horaire quand on affronte de vulgaire pirates, hein";Barbe Blanche;0;558;4;1;
19;-"Cet homme n'est pas du genre à laisser filtrer une info stratégique aussi facilement";Barbe Blanche;0;558;4;1;
20;-"Ton père peut bien être le plus grand criminel de tous les temps, ça n'a aucune espèce d'importance";Hancock;0;558;13;1;
21;-"Il est un hors la loi déjà bien connu, lui coller cette étiquette ne sert absolument à rien";Garp;0;558;13;1;
22;-"Je ne veux plus leur résister. Ce serait leur manquer de respect que de continuer à le faire";Ace;0;559;3;1;
23;-"Si tu as oublié à quel point je peux être redoutable, je m'occupe fissa de te le rappeler";Ivankov;0;560;10;1;
24;-"Tu demeures à la portée de mon sabre";Mihawk;0;561;4;1;
25;-"Je ne me rappelle pas du nom de tous les insectes que j'ai pu écraser";Mihawk;0;561;6;1;
26;-"Ou alors, tu voulais plutôt dire: 'Tu veux bien faire de moi ton sous-fifre?'";Crocodile;0;561;8;1;
27;-"Alors, maggy ball, ça boom?";Baggy;0;561;11;0;
28;-"Sur cette océan, cette capacité est considérée comme étant la plus dangereuse";Mihawk;0;561;12;1;
29;-"Tu devrais avoir honte! Est-ce que j'ai vraiment été vaincu par un homme aussi faible?";Crocodile;1;563;12;1;
30;-"Mais peu importe que tu sois stupide. Je ne t'en aime pas moins";Barbe Blanche;1;563;13;1;
31;-"Il faudrait être stupide pour reprocher à un fils les crimes de son père. Qu'as-tu à lui reprocher?";Barbe Blanche;0;563;13;1;
32;-"Si vous êtes des pirates, décidez vous-mêmes en qui et en quoi vous croyez";Barbe Blanche;0;563;14;1;
33;-"Est-ce que pleurer fera avancer les choses?";Marco;0;564;4;1;
34;-"C'est justement parce qu'il ne ferait jamais ce genre de chose que c'est une légende vivante";Bege;0;565;4;1;
35;-"Trop leeent";Kizaru;1;566;4;1;
36;-"Je m'occuperai de lui plus tard, mais vous voir aussi content de vous me rendait malade";Crocodile;0;566;6;1;
37;-"Si tu ne disposes pas de la puissance requise, tu auras beau faire de ton mieux, il y a pas des gens que tu ne pourras pas secourir";Kizaru;0;567;10;1;
38;-"Tel un pur concentré de vigueur effrénée jeune, maladroit, stupide. J'ai un faible pour les fous dans ton genre";Barbe Blanche;0;567;13;1;
39;-"Tu crois que j'aurais vraiment dû naitre?";Ace;1;568;6;1;
40;-"Ça, c'est en vivant que tu le découvriras";Garp;1;568;7;1;
41;-"Pourquoi suis-je si heureux que mes larmes ne cessent de couler?";Ace;0;568;8;1;
42;-"Si, parce que je ne me battais pas, il n'était pas sauvé, pour le coup, je voudrais mourir";Luffy;0;568;12;1;
43;-"Donnez tout ce que vous avez pour prêter main forte à mugiwara";Barbe Blanche;0;570;6;1;
44;-"Ordre du boss. Considérez les marines comme des ennemis à présent";Daz Bonez;0;570;9;1;
45;-"Laisse moi te dire une chose. L'amour est comme un ouragan";Hancock;0;570;10;1;
46;-"Luffy, tu es mon ennemi";Garp;0;571;5;1;
47;-"Si je te disais que l'unique raison de ma présence ici est d'accomplir la dernière volonté d'un camarade perdu, rirais-tu de moi?";Mr 3;1;571;13;1;
48;-"Que ses enfants meurent avant lui est la pire des craintes pour un père";Barbe Blanche;0;572;11;1;
49;-"C'est ici que je vous quitte. Vous devez survivre et retourner sains et saufs au Nouveau Monde";Barbe Blanche;0;572;12;1;
50;-"Je veux juste savoir, ai-je été un bon père?";Barbe Blanche;1;573;9;1;
51;-"Il faut dire aussi qu'avec un tel homme comme capitaine, il n'y a rien à faire peut-être";Akainu;0;573;11;1;
52;-"Une mort qui siéra à merveille au leader d'un tas de déchets";Akainu;0;573;13;1;
53;-"Cette ère est celle de Barbe Blanche";Ace;1;573;14;1;
54;-"Tu ferais mieux de me retenir fermement. Car si tu ne le fais pas, tu peux être sûr que le vais lui faire la peau";Garp;1;574;8;1;
55;-"Même si j'ai été un bon à rien toute ma vie, même si je porte en moi le sang du démon. Vous m'aimiez malgré tout";Ace;1;574;14;1;
56;-"La vie de ce garçon est le vestige de la volonté d'Ace";Marco;0;575;5;1;
57;-"L'excès de confiance, la négligence. Ce sont tes points faibles";Barbe Blanche;0;576;8;1;
58;-"Dis-le moi si tu veux, mais je n'irais pas. Cet endroit ne m'intéresse pas";Barbe Blanche;0;576;11;1;
59;-"Le One Piece existe";Barbe Blanche;1;576;13;1;
60;-"Son dos mis à nu dans toute sa gloire, la légende chute";Le narrateur;0;576;14;1;
61;-"Ceci est mon ère";Barbe Noire;0;577;15;1;
62;-"Notre justice universelle jamais ne faillira";Sengoku;1;578;6;1;
63;-"Si tu veux le protéger, essaie au moins de le faire correctement";Crocodile;0;578;11;1;
