id;citation;reponse;coeur;chapitre;page;
1;-"Il y a moins d'une chance sur deux que ce soit vraiment un signal de détresse";Robin;0;655;5;
2;-"Vous savez que je souffre d'un mal chronique qui m'interdit formellement de débarquer sur une île?";Usopp;0;655;13;
3;-"Prrt.. Cette fraîcheur est bien étrange. Les flammes sont froides. Prrt";Kinemon;0;656;12;
4;-"Dites-moi, mes chers, aimez-vous les jeux de patience? Ou pour parler dans votre langue,  les 'puzzles'?";Kinemon;0;657;9;
5;-"Ces enfants viennent de nous demander de l'aide en pleurant. On ne peut pas les laisser tomber";Nami;1;658;9;
6;-"Enlevez vos masques, dans ce cas, qu'on respire ça ensemble";Sanji;0;659;12;
7;-"Bleurf! Quelle cruauté envers une tête sans défense";Kinemon;0;660;8;
8;-"J'aurais dû vous prévenir plus tôt. Je me suis permis de geler le canon de vos fusils si bien bien qu'ils explosent au premier coup de feu";Brook;0;661;9;
9;-"Par contre la muscu ne sert à rien contre le froid";Zoro;0;661;11;
10;-"Comment ils ont l'air chaud, ces vêtements";Luffy, Zoro et Robin;0;661;12;
11;-"Tant que vous resterez à l'intérieur du périmètre qu'il a créé, vous ne serez rien de plus que des patients qu'on a foutu sur le billard";Smoker;0;661;18;
12;-"Les faibles ne peuvent pas choisir leur mort";Law;1;662;4;
13;-"Il faut parfois savoir changer d'emplacement pour admirer de nouveaux paysages, Smoker";Law;0;662;18;
14;-"Je dois à tout prix prendre quelques clichés avant de retourner dans mon corps";Sanji;0;663;10;
15;-"Bouuuh.. j'ai abîmé mon petit corps fragile";Nami;0;663;15;
16;-"Vous méritez même pas qu'on vous soupçonne, vous êtes bien trop bêtes pour ça";Smoker;0;664;6;
17;-"Tant qu'il y aura des conspirateurs en ce bas monde, dites-vous bien qu'aucune organisation ne pourra être parfait";Smoker;0;664;6;
18;-"Si Vegapunk est un monstre cruel qui a privé mes camarades de leurs jambes, alors le 'maître' est un dieu salvateur au cœur d'or";Barbe Brune;0;664;14;
19;-"Quand on se mêle des affaires des autres, c'est jusqu'au bout. Ce serait de ma faute si jamais il lui arrive quelque chose";Sanji;0;665;3;
20;-"Je ne veux plus jamais que tu fasses cette tête sous les traits de Chopper. C'est compris?";Robin;0;665;5;
21;-"La récompense de M quand on la lui remettra sera encore plus cool";Yéti Cool Brothers;0;667;7;
22;-"J'ai un plan pour faire tomber l'un des quatre empereurs";Law;0;667;19;
23;-"Hein? Tu vas me trahir, toi?";Luffy;0;668;6;
24;-"Ah, je te préviens. L'idée qu'il se fait d'une 'alliance' diffère sans doute légèrement de la tienne";Usopp;0;668;11;
25;-"Je me suis juré de te foutre une grosse raclée lorsque tu seras de nouveau en un seul morceau";Sanji;0;669;11;
26;-"Peut-être qu'on devrait tous finir en glace au moins une fois dans notre vie pour devenir poli";Sanji;0;669;12;
27;-"Je t'interdis de me mettre dans le même panier qu'un détenteur de pouvoir de type paramecia";César;0;671;10;
28;-"Les adultes finissent toujours par découvrir ce qu'on leur cache";Vergo;0;672;4;
