id;citation;reponse;coeur;chapitre;page;trad officiel;
1;-"Thriller bark? Non, ce n'était rien comparé à elle";Sanji;0;491;2;1;
2;-"Suis-je inhumain? Non, j'en ai 5, des mains";Pappag;0;491;5;1;
3;-"Son souvenir s'est évaporé! Il s'est évaporé sous mes yeux";Chopper;0;491;13;0;
4;-"L'homme qui a ruiné mon existence... va le payer de sa vie";Duval;0;491;19;1;
5;-"Hé, toi! Comment va Arlong?";Sanji;0;492;14;1;
6;-"Je ne me souviens pas avoir pris le moindre coup";Zoro;0;493;11;1;
7;-"Il n'y a rien de pire pour un homme que de se savoir inutile";Brook;0;493;15;1;
8;-"Voyez ce que ma lame peut faire, dans mes modestes mains";Brook;0;493;15;0;
9;-"Vous faites erreur!! Je ne zais pas de gui vous barlez! Je ne zuis même pas un birate";Duval;0;494;18;1;
10;-"Ma haine s'étend donc à tous les membres de ton équipage";Duval;0;495;4;1;
11;-"Je connais une créature qui surclasse toutes les autres sous l'eau";Pappag;0;495;7;0;
12;-"T'en fais pas pour lui. Tant pis s'il y passe, il mourra heureux";Usopp;0;495;14;0;
13;-"C'est comme s'il l'avait intimidé en le fixant dans les yeux";Robin;0;495;17;1;
14;-"Une telle horreur ne devrait même pas exister";Sanji;0;495;18;0;
15;-"C'est moi, le beau gosse. Oups, je me suis trompé";Duval;0;496;4;0;
16;-"Désolé, on t'a sous-estimé. Bonne balade, et soit prudent. N'hésite pas à demander aux habitants";Sanji;0;497;3;1;
17;-"Tu sais ce qu'on dit: autres pays, autres mœurs";Robin;0;497;5;1;
18;-"Je voulais leur acheter des cadeaux avant de rentrer. Arrêter le métier de pirate et me ranger pour de bon";Un esclave pirate;0;497;15;1;
19;-"Tu n'es vraiment pas douée pour les dresser, ma chérie";St.Rosward;0;497;17;1;
20;-"Il passait son temps à pleurer et ne parlait que de sa famille. Ce n'était qu'un simple humain";Princesse Sharlia;0;497;18;1;
21;-"Asseyez-vous, je vous en prie. Je fais cracher une somme exorbitante à ces messieurs et je suis à vous";Shakky;0;498;6;1;
22;-"L'information peut parfois être une arme";Shakky;0;498;11;1;
23;-"Cette femme est d'une vulgarité sans nom, elle m'a coupé l'appétit";Bege;0;498;12;1;
24;-"Tuer quelqu'un aujourd'hui risquerait de nous porter malheur";Hawkins;0;498;14;1;
25;-"Tu me fous la gerbe. Et plus vite je te supprimerai, plus vite je me sentirai mieux";Kid;0;498;15;1;
26;-"Si vous avez envie de vous défouler, faites-le dans le nouveau monde";X Drake;0;498;16;1;
27;-"Parce que je sais qu'il est cent fois plus fort que vous";Shakky;0;498;19;1;
28;-"On a des accords tacites entre pirates, alors tâche au moins de les respecter";Bonney;0;499;15;1;
29;-"Pourtant il n'a pas l'air d'être du genre à obéir à quiconque. Ça laisse présager de l'autorité de son capitaine";Urouge;0;499;16;1;
30;-"Pourquoi c'est nous qui sommes sur l'animal le plus lent?";Sanji;0;500;6;0;
31;-"Les ravisseurs ne sont pas du tout leur seuls ennemis, la totalité des "humains" qui vivent sur l'archipel leur sont hostiles";Pappag;0;500;9;1;
