id;citation;reponse;coeur;chapitre;page;trad officiel;
1;-"Vous croyez que cette mer a un fond?";Robin;0;237;12;0;
2;-"C'est que je dois payer mes factures, moi";Gan Forr;0;238;5;1;
3;-"Voir la navigation et le débarquement qui s'ensuit comme une aventure à part entière, je n'y avais jamais pensé";Robin;0;239;8;1;
4;-"Je reconnais qu'il y a un petit coup de main à prendre. C'est bien trop sensible pour toi";Nami;0;240;5;1;
5;-"Ça a l'air trop bien. J'suis dégoûté. Noie-toi";Luffy;0;240;6;1;
6;-"Usopp est un gros blaireau!! He pourquoi moi?! Hi hi... Et maintenant...";Tone dial;0;240;10;0;
7;-"Je ne me doutais pas qu'elle serait aussi forte, je ne sens même plus ma langue";Sanji;0;240;15;1;
8;-"Mon sang n'a fait qu'un tour quand j'ai entendu cette somme exorbitante";Nami;0;242;8;0;
9;-"Qu'est-ce qui a le plus d'importance pour toi, L'aventure ou la vie?";Luffy;0;243;3;1;
10;-"Pourquoi a-t-elle mis un T-shirt?";Sanji;0;243;10;1;
11;-"Pourquoi est-ce que tu n'arrêtes de trembler depuis notre départ?";Luffy;0;244;8;1;
12;-"S'il vous plaît, vous ne voudriez pas vous enfuir?";Conis;0;244;12;1;
13;-"C'est notre devoir en tant que citoyens de ce pays";Conis;0;244;13;1;
14;-"Tu n'avais pas le choix, mais pourquoi est-ce que tu nous raconte tout ça?";Luffy, Sanji et Usopp;0;244;14;1;
15;-"Tu sais ce que dit le proverbe? "Si tu es perdu, restes où tu es"";Zoro;0;245;13;1;
16;-"Ne m'en veux pas mais dans ma vie je n'ai jamais prié dieu";Zoro;1;245;14;1;
17;-"Donc celui qui est le plus en danger, c'est moi";Chopper;0;245;17;1;
18;-"Il n'y a pas de bon choix pour les criminels";Sanji;0;246;8;1;
19;-"Le mantra est l'émanation du principe divin";Satori;0;246;15;0;
20;-"Le taux de survie dans la forêt de l'égarement ne dépasse pas les 10%";Satori;0;246;18;1;
21;-"Se disputer pour savoir qui est le plus faible, intéressant";Robin;0;247;22;1;
22;-"Ceux que nous considérons aujourd'hui comme des héros de guerre n'auraient peut-être été considéré comme des meurtriers à une autre époque";Gan Forr;1;248;4;1;
23;-"Les petites bestioles égoïstes dans son genre ont le don de m'exaspérer";Shura;0;248;11;1;
24;-"Tant de petits caprices me mettent hors de moi";Shura;0;248;11;0;
25;-"Pour que qu'un être vive, il faut qu'un autre meure. Telle est la loi qui régit ce monde";Shura;0;248;13;1;
26;-"Les morts en sursis n'ont pas besoin de réponses";Shura;0;249;17;1;
27;-"Il s'agit de l'ordalie de l'amour";Sanji;1;250;16;1;
28;-"Stop! Aïe! J'ai déjà mal!";Satori;0;250;17;1;
29;-"Mon vieux merry, si seulement tu pouvais parler";Usopp;0;254;14;0;
30;-"Il se charge personnellement d'engendrer des brebis égarées à même d'être dominées";Gan Forr;0;255;12;1;
31;-"Laver ses crimes ne se fait pas sans sacrifices";Wiper;0;256;10;0;
32;-"Que seuls ceux qui se sentent prêts à enjamber les corps sans vie de leurs camarades me suivent";Wiper;0;256;14;1;
33;-"Merci, mais je me souviens encore de mon nom. Pas la peine de le hurler comme ça";Shura;0;256;20;1;
34;-"Tous les objets qui s'avèrent utiles à l'homme sont un jour ou l'autre détournés de leur utilisation première";Gan Forr;0;257;6;1;
35;-"C'est peut-être que cette fois, dieu n'était pas à leurs côtés";Ener;0;257;8;1;
36;-"Le soleil des îles du suuud, tape sur la têêête, on se sent tout bêêête";Luffy;0;257;17;1;
37;-"Je me faisais une joie de rencontrer une chèvre";Luffy;0;257;18;1;
38;-"Désolé de ne pas t'avoir sous-estimé, habitant de la mer bleue";Braham;0;258;19;1;
39;-"Les six sens de l'être humain peuvent être bons, mauvais ou neutre";Zoro;0;259;12;1;
40;-"Ça y est, moi aussi je suis un vrai piraaate";Chopper;0;263;2;1;
41;-"Les voix que j'entends s'éteignent les unes après les autres";Aisa;0;264;2;1;
42;-"Tu veux te battre? Je t'explose avec un impact, moi";Nami;0;264;6;0;
43;-"Réponse typique d'un demeuré";Robin;0;264;10;0;
44;-"Tu parles exactement comme tous ces imbéciles";Robin;0;264;10;1;
45;-"Aucune excuse ne pourras plus te sauver";Robin;0;265;10;0;
46;-"Même si l'on dit souvent que l'histoire se répète sans cesse, sache que les hommes ne peuvent jamais retourner dans le passé";Robin;0;265;15;1;
47;-"Moins il y a d'idiots, mieux le monde se porte";Ohm;0;266;8;1;
48;-"J'ai besoin de calme car maintenant je pleure la fragilité des hommes";Ohm;0;266;10;1;
49;-"C'est quoi son problème à cette maudite grotte?";Luffy;0;267;16;1;
50;-"Je n'ai jamais aimé me battre pour ce genre de raison. Je suis seulement un peu plus énervé qu'avant";Zoro;0;268;14;1;
51;-"Pardonnez à notre île céleste d'être ce qu'elle est";Pagaya;0;269;3;1;
52;-"Vous n'êtes pas capables de vous défendre vous-même....Pitoyable";Ohm;0;269;19;1;
53;-"Il veux dire que tu ferais mieux de ne pas t'y frotter";Wiper;0;270;7;1;
54;-"Tu penses que j'aurais dû l'épargner parce que c'est une femme? Non, je ne fais pas de discrimination";Ener;0;270;13;0;
55;-"Dire que ce jeune homme est votre capitaine, la fin du monde est proche";Gan Forr;0;271;2;1;
56;-"Aussi longtemps que je vivrai, je ne prierai jamais aucun dieu";Zoro;0;271;17;1;
57;-"Gardez la bouche scellée et la vérité à l'esprit";Robin ou les anciens shandias;0;272;3;1;
58;-"Le brillant de ce précieux métal me sied parfaitement";Ener;0;272;7;1;
59;-"Cogne-toi la tête et tombe dans les pommes";Zoro;0;272;15;1;
60;-"C'est toi qui vas nous faire le plaisir de disparaître";Gan Forr, Robin, Wiper et Zoro;0;273;18;1;
61;-"C'est sans doute trop long pour pouvoir reconnaitre la défaite";Gan Forr;0;274;3;1;
62;-"L'existence de ce pays qui prend ses racines dans les nuages va à l'encontre de l'ordre naturel";Ener;0;274;10;1;
63;-"Nul dieu n'existe sur cette terre des hommes";Gan Forr;0;274;11;1;
64;-"C'est une femme";Zoro;0;275;3;1;
65;-"Ma puissance est écrasante...Laisse-moi plutôt t'apprendre ce qu'est le désespoir";Ener;0;275;9;1;
66;-"Il n'y a rien que les humains craignent plus que la mort";Ener;0;275;10;1;
67;-"Ce n'est pas dieu que les hommes craignent...C'est la peur que celui-ci incarne";Ener;1;275;19;1;
68;-"Je me relève....pour mes ancêtres";Wiper;0;276;16;1;
69;-"Ça ne sert à rien d'attendre un hypothétique miracle";Conis;0;278;13;1;
70;-"Ayez au moins le courage d'admettre qu'il n'y a jamais eu aucun dieu dans ce pays";Conis;0;278;14;1;
71;-"Il y a sur cette île de gens qui ignorent comment s'évader et ce sont mes amis";Conis;0;279;6;1;
72;-"Tu ne me feras pas croire que tu peux démultiplier tes mains";Ener;0;280;14;1;
73;-"Les membres d'équipage du futur seigneur des pirates ne doivent jamais céder à la panique";Luffy;0;280;17;0;
74;-"Je t'interdis de prendre cet air de chien battu";Luffy;0;280;17;1;
75;-"Et il ne faut jamais s'interposer dans un combat entre guerriers";Aisa;0;281;4;1;
76;-"Viens prendre part au bal";Ener;0;281;10;1;
77;-"En témoignage de mon respect pour le courageux combat que tu as mené laisse moi t'offrir cette petite pépite d'or";Ener;0;282;10;1;
78;-"Si c'est pour abandonner mes amis et partir seule avec vous, alors je préfère ne rien avoir";Nami;0;282;17;1;
79;-"Comme si j'avais besoin d'une troisième boule";Luffy;0;283;16;1;
80;-"Ouille...J'ai mal rien qu'a t'entendre";Nami;0;284;7;1;
81;-""Fuir", une action pourtant si simple se révèle une tâche ardue lorsqu'on est face à moi";Ener;0;284;10;1;
82;-"Tu ne veux tout de même pas fouler au pieds la détermination d'un homme";Usopp;0;284;13;1;
83;-"J'avais justement besoin de feu";Sanji;1;284;15;1;
