id;citation;reponse;coeur;chapitre;page;trad officiel;
1;-"Oui, je fais caca";Brook;0;442;17;1;
2;-"Je vis dans un monde où la lumière n'existe pas";Brook;0;443;10;0;
3;-"Nous venons à peine de faire connaissance et je ne peux pas me permettre de vous demander de mourir pour moi";Brook;0;443;14;1;
4;-"Je me trompe ou tu viens de dire "Sbleurf"?";Zoro;0;444;13;1;
5;-"J'étais parti à la poursuite de mon chien quand, je suis gêné de le dire, j'ai commencé à vous espionner";Hildon;0;444;19;0;
6;-"Tiens, t'as perdu ça";Un zombie du cimetière;0;445;13;1;
7;-"Quelle souplesse d'esprit, docteur";Docteur Hogback;0;446;9;1;
8;-"Sous aucun prétexte vous ne devez pénétrer dans mon labo";Docteur Hogback;0;446;10;1;
9;-"Les nappes ont été lavées et relavées pour justement parer à ce genre d'incident";Docteur Hogback;0;446;10;1;
10;-"Dommage!! La salle aux trésors se trouve ailleurs";Un zombie surprise;0;448;5;1;
11;-"À la base tu es un gros pervers";Sanji;0;448;7;1;
12;-"Laisse-moi sortir de ce trou, pauver idiot";Un zombie du cimetière;0;448;12;1;
13;-"Hein?! T'as pas honte de balancer tes potes? Je te signale que toi t'en as mordu un";Un zombie du cimetière;0;448;16;1;
14;-"Avant de casser ma pipe... j'aimerais sentir une dernière fois... la chaleur du soleil sur ma peau";Spoil;0;449;3;1;
15;-"Érochef";Les zombies acclamant Absalom;0;449;11;1;
16;-"Il faut être un minimum mignon pour avoir le privilège de me servir";Perona;1;449;12;1;
17;-"Vous ne devriez pas ouvrir si grand la bouche, ça ne met pas en valeur vos jolis traits";Robin;0;450;13;1;
18;-"Let's fiesta night! Nous ne laisserons aucun pirate s'échapper";Les Zombies du cimetière;1;450;20;1;
19;-"Aurais-tu laissé s'envoler tes rêves le jour où tu es devenu un homme de fer?";Luffy;0;452;2;1;
20;-"Je ne vais pas me laisser battre par un satané cadavre";Franky;0;452;8;1;
21;-"Ce n'est pas pour des pervers dans ton genre que je prend soin de mon corps au quotidien";Nami;0;453;7;1;
22;-"Et puis ce corps qui ne bouge pas comme je voudrais. Décidément, je me sens bien faible";Chienguin;0;453;8;1;
23;-"Je sais pas si je m'adresse à une abrutie d'araignée ou bien à un imbécile de singe";Franky;0;453;13;1;
24;-"Je suis un homme";Nami;0;454;3;1;
25;-"J'ai du mal à croire que c'est le navire de l'homme qui a vaincu crocodile";Perona;0;454;7;1;
26;-"Cela fait tellement longtemps que je n'ai pas échangé avec des gens. Je suis aux anges";Brook;0;455;11;1;
27;-"De nombreuses années se sont écoulées depuis, mais le problème n'est toujours pas résolu. C'est pourquoi cette fois, je ne me défilerai pas";Brook;0;456;6;1;
28;-"Si j'avais eu un serviteur aussi puissant, cet abruti n'aurait jamais pu me vaincre";Moria;0;456;10;1;
29;-"Ce n'est pas le moment de te lamenter. Nos amis sont sur le point de faire les frais de ce petit jeu";Usopp;0;457;13;1;
30;-"Si je ne parviens même pas à protéger une femme, je ne pourrais plus jamais prétendre être un homme";Usopp;0;457;16;1;
31;-"Se dire qu'on va bientôt disparaître, c'est le comble pour des immortels";Un zombie dans le chateau;0;458;2;1;
32;-"Tu fais peine à voir, mon ancien maître";Ryuma;0;458;12;1;
33;-"Une splendide demoiselle avec des sabres nous a apporté de la viande";Usopp;0;458;17;1;
34;-"La mort n'est pas une excuse";Brook;1;459;11;1;
35;-"Un homme n'a qu'une parole, et je tiendrai la mienne";Brook;0;459;12;1;
36;-"J'aimerais au moins protéger cette tête qui vous a tant fait rire, toi et les autres";Brook;0;459;16;1;
37;-"Non mais tu crois que c'est le moment d'aller danser";Hogback;0;460;14;1;
38;-"Moi j'ai le sourcil trop vrillé. Mieux vaut mourir";Sanji;0;460;19;1;
39;-"Vous m'avez beaucoup déçu. Je ne vous considère plus comme un médecin";Chopper;0;461;6;1;
40;-"À la base je pense tout en négatif";Usopp;1;461;16;1;
41;-"Mais qui est cet homme? Un ermite, ou bien un saint?";Zombie de Perona;0;462;3;1;
42;-"Tel un phénix, ou bien un zombie, tu te relèves encore";Ryuma;0;462;6;1;
43;-"Ceux qui ont perdu leur humanité comme toi ne devrait jamais utiliser ce nom";Brook;0;462;7;0;
44;-"Autrefois, moi aussi j'étais trop sûr de mes propres capacités";Moria;0;463;5;1;
45;-"Quoi? Serait-ce un ange?";Absalom;0;463;12;1;
46;-"Tu ne sais donc pas qu'il faut éviter d'attaquer en présence d'une demoiselle?";Sanji;0;463;13;1;
47;-"Uwah!! Quoi?! C'est salé..";Absalom;0;463;18;0;
48;-"Tu es l'homme qui a volé l'un de mes rêves";Sanji;0;464;3;1;
49;-"Dans la vie, il faut savoir positiver';Perona;0;465;3;1;
50;-"Je serre ton coeur dans mes mains et je vais le réduire en bouillie";Perona;0;465;7;1;
51;-"J'ai déjà vu plus fair-play comme combat";Usopp;0;465;12;1;
52;-"Non, tu as tout faux. Tu es un homme qui peut tout changer et changer";Sogeking;0;465;17;0;
53;-"En tout cas, ça me surprend de te voir réfléchir si calmement";Perona;0;466;3;1;
54;-"Tu as commis une grave erreur en voulant me defier sur le terrain du "pessimisme" et du "mensonge"";Usopp;1;466;12;1;
55;-"Ça signifierai que leur force de destruction est d'un niveau équivalent. En d'autres termes, leur combat sera bref";Brook;0;467;3;1;
56;-"Je suis certain qu'il sera comblé de t'avoir pour maître";Ryuma;0;467;16;1;
57;-"Je me sens si honteux d'avoir fait subir une défaite au corps de ce samouraï";Ryuma;0;467;17;1;
58;-"Mais on va dire que ce duel a eu deux vainqueurs";Zoro;0;467;17;1;
59;-"Libre à toi de me respecter, mais il est absurde de m'imputer la responsabilité de ta déception";Hogback;0;468;5;1;
60;-"Après ta mort, je ferai de toi l'assistant du médecin que tu respectes tant";Hogback;0;468;10;1;
61;-"Les êtres humains doivent être libre!! Et toi tu es le premier à les traiter comme des bêtes";Chopper;1;468;13;1;
62;-"Il n'a nullement besoin de nous y forcer comme tu peux le faire avec tes cadavres serviles";Chopper;0;469;4;1;
63;-"Alors tu ne devrais pas sous-estimer le pouvoir de tes propres nakama";Sanji;0;471;21;0;
64;-"Désolé, mais en tant qu'être humain, c'est vraiment trop la honte";Robin;0;472;6;1;
65;-"Je ne veux plus jamais que tu m'invites à "fusionner"";Robin;0;472;7;1;
66;-"Quand même, ce pont, pourquoi est-il si étroit? Et les finitions sont parfaites, c'est étrange";Nami;0;473;3;1;
67;-"Si tu devais voyager, où aimerais-tu aller?";Kuma;1;473;13;1;
68;-"Ce que je fais ici, c'est à moi d'en décider";Kuma;0;473;17;0;
69;-"Je suis comme un robot!! Ca augmente vraiment la tension dramatique";Oz;0;474;16;0;
70;-"Tout le monde sait que le lait est excellent pour les os";Brook;0;475;2;1;
71;-"Rien ne serait plus douloureux que de ne pouvoir honorer la dette que j'ai envers vous";Brook;0;476;13;1;
72;-"Pourquoi attaquez-vous toujours le même point? Si ça ne fonctionne pas la première fois, ça ne fonctionnera pas les autres fois non plus";Oz;0;477;16;0;
73;-"Elle le protège depuis son ventre, gros bêta";Moria;0;478;7;1;
74;-"Hé, toi! Le gros bide! Je peux savoir ce que tu écrases? Il n'y a personne sous tes pieds";Dark Luffy;0;478;10;1;
75;-"C'est à se demander lequel de vous deux est le zombie";Laura;0;480;5;1;
76;-"Les vrais pirates ne craignent pas la mort. Ils n'ont peur de rien";Moria;1;481;7;1;
77;-"Nous ne sommes pas de ces lâches qui fuient la queue entre les jambes face au moindre obstacles";Laura;0;481;16;1;
78;-"Si tu veux vivre un cauchemar, fais-le sans nous";Luffy;0;481;17;1;
