id;citation;reponse;coeur;chapitre;page;
1;-"Pourquoi je vous appelle, en fait? Ah ben je sais plus! Hic!";Kokoro;0;322;14;
2;-"Il me faut un gars monté comme une armoire à glace";Luffy;0;323;4;
3;-"Si je tombe sur un mec comme ça, je prends mes jambes à mon cou";Usopp;0;323;5;
4;-"Sur un chantier naval, ce ne sont pas les pirates qui font la loi";Pauly;0;323;17;
5;-"Cet homme est d'une franchise effrayante";Usopp;0;324;7;
6;-"Ça veut dire qu'il ne reste plus que nous deux sur ce bateau? Mon dieu, quel ennui";Sanji;0;324;15;
7;-"Mais bon, l'issue ne faisait aucun doute. Ils se sont fait rosser par les artisans";Un habitant de Water Seven;0;324;17;
8;-"Je croyais pouvoir te surprendre dans ton sommeil";Un membre de la franky family;0;324;18;
9;-"Votre "jour de chance"? Tu voulais dire "malchance", j'imagine";Zoro;0;325;4;
10;-"Vous y allez un peu fort, quand même...Me confisquer ma valise, comme ça...";Luffy;0;325;13;
11;-"Pas en bois, si c'est ce que tu veux savoir";Kaku;0;325;16;
12;-"J'ai pas envie";Icebarg;0;326;9;
13;-"Car quand elle se met en colère elle a tendance à frapper tout ce qui bouge";Icebarg;0;326;11;
14;-"C'est la trace de lèvres qui m'incommodait";Icebarg;0;326;12;
15;-"C'est parce qu'il ne peut pas te frapper lui-même qu'il a demandé à ce type de le faire à se place";Luffy;0;327;9;
16;-"Un professionnel ne ment jamais";Kaku;0;327;17;
17;-"Même avec tout notre talent il n'y a rien que nous puissions faire";Kaku;0;327;18;
18;-"C'est vrai, ce qu'il dit? Tu ne peux plus naviguer?";Zoro;0;327;19;
19;-"Dis-moi, petite devergondée. Tu sais ce que c'est, une quille?";Pauly;0;328;9;
20;-"Tout bateau est unique";Hattori;0;328;11;
21;-"J'ai l'impression de parler à un mur et malgré ça, tu te prétends capitaine?";Icebarg;0;328;14;
22;-"Tiens, ça sent le pirate par ici";Corgi;0;328;16;
23;-"Voler des pirates est un acte innommable";Nami;0;328;20;
24;-"Toi et les autres, je n'oserai plus jamais vous regarder en face";Usopp;0;328;23;
25;-"Un homme devient plus fort à mesure qu'il affronte les vagues mais n'en va pas de même pour un navire";Zoro;0;329;5;
26;-"Le temps de défoncer leur baraque de tarés";Luffy;0;329;18;
27;-"Quand ce combat sera terminé, il ne restera plus rien de vous";Luffy;0;330;13;
28;-"Le "Vogue Merry" est irréparable";Luffy;0;331;7;
29;-"Et toi, tu voudrais qu'on l'abandonne ici?";Usopp;0;331;10;
30;-"Il ne suffit pas de prendre ses grands airs de capitaine pour faire le bon choix";Usopp;0;331;12;
31;-"Ce n'est pas le genre de paroles qu'on peut prononcer à la légère";Sanji;0;331;15;
32;-""Toi et moi, on n'est plus amis, retourne au bateau"";Chopper;0;332;6;
33;-"Je suis on en peut plus sérieux! Ce combat, C'est le mien";Usopp;0;332;12;
34;-"Tu savais pourtant très bien que tu n'avais aucune chance contre moi";Luffy;0;333;13;
35;-"Imagine à quel point un homme peut se sentir misérable si on s'apitoie sur son sort alors qu'il vient de perdre un combat";Sanji;0;333;16;
36;-"Dis-toi bien qu'une attention déplacée peut être terriblement douloureuse pour quelqu'un qui a subi une défaite";Sanji;0;333;17;
37;-"Si tu devais te montrer hésitant, en qui devrions-nous croire?";Zoro;1;333;18;
38;-"Qui a osé faire ça? Cet homme ne mérite aucune pitié";Pauly;0;334;11;
39;-"He ben, ils y sont allés un peu fort";Mozu;0;334;19;
40;-"Je suis le super mâle de cette île";Franky;0;335;13;
41;-"Je suis celui que tu cherches";Luffy;0;335;15;
42;-"Vous n'avez jamais vu quelqu'un cracher du feu?";Franky;0;336;6;
43;-"C'est quoi ton problème? Tu vis mal ta puberté?";Franky;0;337;9;
44;-""Mort ou vif". C'est ce qui est écrit sur ton avis de recherche";Kaku;0;337;20;
45;-"Tous les membres de votre équipage vont passez à la moulinette";Pauly;0;337;23;
46;-"Trouvons-les tous et pendons-les";Un habitant de Water Seven;0;337;23;
47;-"J'aime pas trop qu'on vienne me faucher ma proie juste sous mon nez";Franky;0;338;11;
48;-"Vous allez vous prendre un vent, mais pas n'importe lequel";Franky;0;338;13;
49;-"J'espérais apprendre la vérité. Mais je me faisais des illusions";Icebarg;0;339;10;
50;-"Ça bibiche?";Franky;0;339;12;
51;-"Les pirates? Mwahahaha! Et toi aussi, tu es de cet avis?";Kokoro;0;339;16;
52;-"La neutralité est la meilleur position";Zoro;0;341;4;
53;-"Alors ça, il faudrait être dans sa cervelle de moineau pour savoir ce qui l'a traversée";Kokoro;0;341;13;
54;-"Mieux vaut que vous restiez dans l'ignorance. Cette fille est un démon";Icebarg;0;341;18;
55;-"On a intérêt à la jouer fine si on veut éviter les ennuis";Luffy;0;342;6;
56;-"Ces armes ne peuvent pas apporter la paix";Icebarg;0;344;12;
