id;citation;reponse;coeur;chapitre;page;trad officiel;
1;-"Le vieux, tes tifs, faut les couper";Luffy;0;106;18;1;
2;-"Apprenez qu'un sabreur digne de ce nom ne se noit jamais complètement dans l'alcool";Zoro;0;107;12;1;
3;-"Je vous en supplie, ayez pitié de cet enfant! Il ne sait pas ce qu'il fait";Miss Catharina;0;108;11;1;
4;-"Faites attention, j'ai cru voir un trou dans le sol";Zoro;0;108;15;1;
5;-"Regarde mon corps sublime! Fixe-le attentivement";Vivi;0;109;16;0;
6;-"Cessez vos salamalecs";Vivi;0;110;15;1;
7;-"Ne me dis pas que tu es homme à ne pas tenir ses promesses?";Nami;0;111;6;1;
8;-"Alors quant à se prendre une raclée mortelle autant que ça serve à protéger quelqu'un que je considère comme une amie";Miss Monday;0;111;10;0;
9;-"Ceux qui se mettent en travers de notre chemin nous avons pour habitude de les envoyez six pieds sous terre";Miss Valentine;0;111;17;0;
10;-"C'est pas bientôt fini ce bordel?";Luffy et Zoro;0;112;17;1;
11;-"Essayer de m'avoir avec un leurre, qu'ils sont mignons";Robin;0;114;5;1;
12;-"Je vous demanderais de ne pas pointer sur moi ces objets dangereux";Robin;0;114;11;1;
13;-"Ce n'est pas à elle de décider de la route à suivre de notre bateau";Luffy;0;114;16;1;
14;-"Eh bien des rumeurs disent qu'en fait ce serait l'arrière de mon crâne qui est mis à prix à 30 millions de berrys";Usopp;0;115;2;1;
