id;citation;reponse;coeur
1;-"Il n'existe aucun remede pour la betise";Dalton;1
2;-"Il y a déjà eu trop de sacrifice! Ne donne pas ta vie pour ce pays";Dalton;0
3;-"Il ne suffit pas d'avoir de bonnes intentions pour sauver des gens";Kureha;0
4;-"Son coeur souffre d'une grande meurtrissure...une blessure qu'aucun médecin ne peut guérir";Kureha;0
5;-"GYAHHH!! C'est pas du jeu si tu te transforme en gros balèze";Hiluluk;0
6;-"Il n'y a que comme ça que ce bateau peut atteindre sa "vitesse maximal"";Vivi;0
7;-"Je n'ai jamais vu une telle navigatrice";Vivi;0
8;-"Les grosse brutes dans ton genre, je les renvoie à la "réception"";Sanji;0
9;-"Il y a des situations dans lesquelles la violence n'est pas une solution";Vivi;1
10;-"Ca, c'est un chouette pourboire inespéré";Kureha;0
11;-"N'oublie jamais qu'à la douleur succède le soulagement";Kureha;1
12;-"Tu peux parler, et alors?";Hiluluk;0
13;-"Rien n'est impossible pour celui qui vit sous la bannière de la tête de mort";Hiluluk;1
14;-"Quel mal y a-t-il à souhaiter gouverner un pays humainement ?";Dalton;0
15;-"Et tu prétend être un homme? Sale petit pleurnichard";Kureha;0
16;-"Je ne supporte pas les adieux dans les larmes";Kureha;0
17;-"Allez, va mon fils";Kureha;0
18;-"Qui eut cru que la volonté du "D" était toujours en action";Kureha;0
19;-"Je me demandais ce qui donnait ce goût de médicament";Wapol;0
20;-"J'ai l'impression que mon visage est enflé, non?";Usopp;0
21;-"C'est la fatigue psychologique qui a dû la miner..";Vivi;0
22;-"tu vas rester là bien sagement, petite!";Kureha;0
23;-"Daubez bes abis";Luffy;0
24;-"Elle n'est pas docteur, c'est une psychopathe!";Sanji;0
25;-"Pourquoi tu ne viens pas avec nous?";Nami;0
26;-"Désolé, petite..Je ne voulais pas leur faire de mal, je te jure...";Hiluluk;0
27;-"Dis plutôt que tu vas l'anéantir!";Kureha;0
28;-"Alors, c'est surement aussi la premiere fois que tu reçois un cadeau";Hiluluk;0
29;-"Alors cette fois je vais mourir, pas vrai?";Hiluluk;0
30;-"Cette guérison miraculeuse a été une expérience unique qui a purifié mon coeur";Hiluluk;0
31;-"Le bandit qui se repent à l'approche de sa derniere heure, hein?";Kureha;0
32;-"Nous nous ressemblons, lui et moi";Hiluluk;0
33;-"Ca arrive a tout le monde de tomber malade meme aux medecins";un garde de wapol;0
34;-"Je mettrai au point la panacée";Chopper;0
35;-"Quelques petites minutes si'ou plait: il est parti se couvrir";Sanji;0
36;-"Nous ne pouvons nous permettre de perdre un autre homme de sa trempe";Un docteur des toubib20;0
37;-"C'est du cannibalisme";Luffy;0
38;-"L'occasion s'offre à nous de sortir de ce marasme. C'est le moment d'agir si nous ne voulons pas continuer à nous enfoncer";Dalton;0
39;-"Heureusement pour lui que le ridicule ne tue pas";Zoro;0
40;-"Ce drapeau ne ploiera pas devant toi! Il est le symbole de convictions!!";Luffy;0
41;-"Tu vois il est inébranlable";Luffy;0
42;-"S'il flotte ici ce n'est pas par hasard";Luffy;0
43;-"Roi ou dieu, peu importe! Le prestige de ta position ne signifie rien pour moi";Luffy;0
44;-"Mon rang et mes honneurs, tu parles! A bas le despote";Dalton;
45;-"En t'attaquant à mon auguste personne, tu commets un crime à l'échelle planétaire";Wapol;0
46;-"Ici même allait naître une nation dont le drapeau serait pour le moins insolite";Narrateur;0
47;-"Jamais je ne me suis autant amusé";Chopper;0
48;-"Si jeune et déjà éveillé aux problèmes politiques";Dalton;0
49;-"La vie n'est pas facile quand on entre pas dans les normes mais il ne faut pas haïr les hommes pour autant";Hiluluk;1
50;-"Je ne pensais pas qu'ils seraient si vite sur pied";Kureha;0
51;-"Mon rôle est de perpétuer sa volonté coute que coute";Chopper;0
52;-"Je ne veux pas te faire de mal! Je ne vais pas te tirer dessus";Hiluluk;0
53;-"Dragon "le revolutionnaire", les pensées de cet homme sont dangereuses. D'ici 5 à 6 ans, il est probable qu'il se dressera comme l'un des plus redoutable ennemis de nos gouvernement mondial";Un roi de la reverie;0
54;-"Ma main a glissé";Wapol;0
55;-"Je m'excuse de m'être cogné contre vous";Vivi;0
