id;citation;reponse;coeur
1;-"Le moment est venu de prendre les armes et de se battre!!";Genzo;1
2;-"Vas t'en nami!! Et ne remet plus jamais les pieds dans ce village";Genzo;1
3;-"Nous formons une vraie famille";Belmer;0
4;-"Je ne veux plus t'entendre proférer de telle chose";Belmer;0
5;-"En ce qui me concerne, je n'ai qu'une parole";Arlong;0
6;-"Laisse moi juste te poser une question, elle est pas belle la vie?";Arlong;0
7;-"Va pour 'voyou', ça me plait bien";Nojiko;0
8;-"C'est pour eux aujourd'hui, nous devons rire de toute nos forces";Genzo;0
9;-"Parfois ça fait du bien de passer la journée à se goinfrer sans se soucier du reste";Sanji;0
10;-"Pas besoin de donner des coups de dents pour briser de la rocher";Luffy;0
11;-"Ma cupidité, ma lacheté, tout ça semble ridicule quand je vois ce que ce garçon a fait";Gyn;0
12;-"C'est ce qu'on a dans le ventre qui ferra la différence";Zeff;0
13;-"C'est pour ça que je déteste les petits froussards qui préfèrent mourir plutot que d'affronter la réalité";Nojiko;0
