id;citation;reponse;coeur
1;-"Ce serait dommage de gâcher mes boulets pour des types aussi faibles que vous";Zambai;0
2;-"Règle d'or du parfait combattant: ne jamais quitter son adversaire des yeux";Lulu;0
3;-"Je n'ai qu'une envie, c'est de les pulvériser au plus vite et de retourner me coucher";Kashii;0
4;-"On ne peut pas faire une omelette sans casser des oeufs";Spandam;0
5;-"Je suppose que ça te rend encore plus pitoyable, toi tu n'as même pas de nom";Zoro;0
6;-"Si vous les voyez, donnez-leur ce message. "Vous êtes virés"";Pauly;0
7;-"Aussi longtemps que nous serons ici, le moindre meurtre sera justifié";Lucci;0
8;-"Nous allons tout détruire pour assouvir notre colère";Kashii;0
9;-""Attachez vos ceintures!!" C'est ce qu'il dit";Chopper;0
10;-"N'ignorez-pas mon jugement";Baskerville;0
11;-"Que ces gens meurent ou vivent, ce qu'ils font restera dans les mémoires";Kokoro;1
12;-"Si tu gardes ce regard, ils ne pourront rien faire pour toi";Franky;0
13;-"Parce que vous regardez le monde avec un tel regard, vous êtes capable de faire trop de chose inhumaines";Robin;
14;-"Je veux que tu fasses disparaître ce drapeau";Luffy;0
15;-"Dis-moi que tu veux vivre";Luffy;0
16;-"Je veux vivre";Robin;1
17;-"Gui bou za di de benir be sauver?";Franky;0
18;-"Hormis mon apparence je suis pas du genre à faire souffrir mes victimes";Jabura;0
19;-"On est où ici, au zoo?";Zoro;0
20;-"Vous les gars vous vous contentez d'imiter le métal";Franky;0
21;-"Je suis heureux, la mort me sourit";Kumadori;0
22;-"Même si je dois en mourir, je ne frapperai pas une femme";Sanji;1
23;-"Parce que vous ne m'en avez jamais donné l'ordre";Lucci;0
24;-"Et ben moi je dis que tu es un mollasson";Fukuro;0
25;-"Quel genre de crétin devient plus fort en buvant du cola?";Chopper;0
26;-"Mon dieu...Mais c'est que t'avais raison...Mes autres coups étaient vraiment faibles";Franky;0
27;-"J'aurais aimé que tu n'hérites pas tout de cet imbécile";Kureha;0
28;-"Ne te lamente pas, car si la peine t'envahit, c'est ton honneur qui pleure";Kumadori;0
29;-"Ne pas connaître la réponse, n'est ce pas ce qui fait le charme d'affronter quelqu'un qui a des pouvoirs?";Kalifa;0
30;-"Si tu parviens à résoudre cette énigme, tu comprendras que tu ne peux pas gagner";Kalifa;0
31;-"Un coeur de pierre est parfois requis pour faire régner la justice";Spandam;0
32;-"Si être mignon c'est de n'offrir aucune résistance alors je refuse d'être considérée comme telle";Nami;0
33;-"Peu importe ta force, mes prédictions s'avèrent toujours exactes";Nami;0
34;-"Jamais plus tu n'auras occasion de me mettre à terre, gouvernement";Zoro;0
35;-"Je suis le chasseur";Sanji;1
36;-"Mais même les situation les plus désastreuses, cachent des opportunités à saisir";Sanji;0
37;-"Pendant que je fais ce que vous pouvez pas faire, faites ce que je ne peux faire";Sanji;0
38;-"Tu ne pensais quand même pas que j'allais gober ce genre de connerie?";Sanji;0
39;-"Si tu portes le bandana, est-ce que ta force change?";Kaku;0
40;-"La souffrance est bienvenue sur la voie du carnage";Zoro;0
41;-"Ils ont dit qu'ils viendraient me sauver";Robin;0
42;-"Les gens ne peuvent pas être vus sur une carte;Robin;0
43;-"C'est parce que son nez de sauvage travaille beaucoup mieux que le vôtre";Nami;0
44;-"Le mal ne s'étendra jamais dans ce mal";Lucci;0
45;-"Dans la mer!!";Usopp, Sanji, Nami, Chopper;0
46;-"On pourra pas uniquement s'échapper grâce à notre volonté";Sanji;0
47;-"On n'arrive toujours pas à récupérer une simple femme d'un groupe de stupides pirates";Spandam;0
48;-"Je veux naviguer une dernière fois";Vogue Merry;0
49;-"Je suis actuellement témoin d'un miracle";Icebarg;0
50;-"C'est le temps des adieux, l'adieu des hommes, ce n'est pas un lieu pour les larmes";Usopp;0
51;-"Je voulais continuer les aventures avec vous éternellement";Vogue Merry;0
52;-"Merci d'avoir pris soin de moi durant tout ce temps";Vogue Merry;1
53;-"Autrefois, nous travaillions avec un homme...Qui rendit possible l'impossible";Icebarg;0
54;-"Tout ça, c'était pour faire de toi un homme fort";Garp;0
55;-"Vous deux, essayez de l'arrêter.";Garp;0
56;-"Tu as dû manger beaucoup de viande";Luffy;0
57;-"Parce que faire son entrée comme ça beaucoup plus cool";Garp;0
58;-"Ah! Mince! J'aurais pas dû vous dire tout ça! On fait comme si j'avais rien dit";Garp;0
59;-"Jusqu'a ce que je te rencontre, ma vision du monde était vraiment étroite";Kobby;0
60;-"As-tu enfin trouvé ta place?";Aokiji;0
61;-"Mais sache qu'Ohara n'est pas vraiment partie";Aokiji;0
62;-"Comme toujours il exsude sa puissance de malade";Marco?;0
63;-"J'ai dû me faire un peu intimidant...C'est un bateau ennemi, après tout";Shanks;0
64;-"Les hommes qui savent à quoi ressemblaient les mers d'autrefois sont beaucoup moins nombreux";Barbe Blanche;0
65;-"Disons que je l'ai misé sur la naissance d'une "nouvelle ère"";Shanks;0
66;-"On ne peut pas vivre dans ce monde sans un minimum de moralité";Barbe Blanche;0
67;-"On a le droit de rêver! Nous sommes des pirates";Sanji;0
68;-"Il serait plus judicieux de faire votre testament avant d'y aller";Kokoro;0
69;-"C'est le fils d'un pirate de toute façon";Zambai;0
70;-"Avez-vous enlevé le cache de l'objectif?";Un marine du QG de la marine;0
71;-""Si tu veux réellement devenir un jour le seigneur des pirates, alors tu dois voguer sur le bateau du roi des animaux"";Icebarg;0
72;-"Tout ce qu'on a à faire, c'est s'assurer que l'un d'entre nous le garde";Zambai;0
73;-"Même nu, un homme peut être grand s'il affronte les vagues tel un lion";Franky;0
74;-"Elles vont se presser! Comme des oranges";Kiwi;0
75;-"En tant que pirates, quand on découvre un trésor, je ne vois pas pourquoi on le laisserait sans avoir une bonne raison";Robin;0
76;-"Et on aurait pas le droit, de penser au bonheur de notre sauveur?";Zambai;0
77;-"Peut importe la distance qui nous sépare, nous serons toujours tes petits frères";Zambai;0
78;-"Je serais absent quelques temps";Franky;0
79;-"S'il recommence à dire de la merde sur tout et n'importe quoi alors il peut rentrer chez lui";Zoro;0
80;-"Je suis presque trop vieux pour ça";Garp;0
81;-"Peu importe ce que tu deviendras...Aussi longtemps que tu portes une grande valeur à ton maniement de l'épée...ça va me";Koshiro;0
82;-"ça fais du bien de revoir sa frimousse. C'est vrai, c'est mieux que rien";Kureha;0
83;-"Parfois dans l'histoire du monde, les coïncidences comme celle-ci font grandir nos doutes";Dragon;0
84;-"Le soleil et la nuit! Il n'y aura qu'un seul vainqueur";Barbe Noire;0
