id;citation;reponse;coeur
1;-"Vient-il de dire "je t'aime"?";Hancock;0
2;-"Donc, tu es là parce que tu es faible, c'est ça?";Luffy;0
3;-"Tant qu'il y a du sol, j'me marre";Baggy;0
4;-"Ah, quels surbordonnés sans-coeur m'a-t-on attribués..."Haaaaaaaaa"";Magellan;0
5;-"J'apprécierai énormément que vous m'ameniez rapidement au prisonnier";Hancock;0
6;-"Je suis un homme qui adore payer ses dettes";Mr 3;0
7;-"Suis-je donc personne en voulant éviter l'affrontement?";Jinbei;0
8;-"Si malheureusement, cet homme venait à mourir, qu'adviendrait-il de la mer?";Jinbei;0
9;-"Fundoshi! Fundoshi! Des sous-vêtements avec des fraises";Manticore;0
10;-"Je ne crois pas qu'à ce niveau la vie d'un vieil homme comme moi soit suffisante en guise d'expiation";Garp;0
11;-"Mmmmmmm! Je n'ai toujours pas assez de cris";Sadi;0
12;-"J'aimerai tellement prendre la place du chef warden";Hannyabal;0
13;-"Que vos piètres vies n'oublient pas que j'ai l'autorité et le pouvoir d'exécuter chacun d'entre vous si j'en vois la nécessité";Magellan;0
14;-"A propos, il était inquiet que tu lui en veuilles";Hancock;0
15;-"Alors je préfère sacrifier ces mains et te foutre la branlé de ta vie";Luffy;0
16;-"24 heures d'agonie, pour ensuite connaître ce qu'est le véritable enfer";Magellan;0
17;-"Parce que nous sommes amis!! Et je n'ai besoin d'aucune autre raison";Bonclay;0
18;-"L'excitation est trop forte..mon anémi est...est...est";Ivankov;0
19;-"Un homme, une femme, un travesti, suis la voie qui te convient. Le sexe n'est qu'une barrière";Ivankov;0
20;-"Dans cette situation, seul un démon serait resté sans rien faire";Ivankov;0
