id;citation;reponse;coeur
1;-"Les vagues se moquent de toi, jeune fille";Mr 9;0
2;-"Malheureusement la réalité est parfois plus cruelle qu'on ne l'imagine";Crocus;1
3;-"Inutile de t'exciter, gamin. Il risquerait d'y avoir des morts...";Crocus;0
4;-"Si vous les avez au bout du fil...dites leur que je ne recois d'ordre de personne";Smoker;0
5;-"Le monde entier attend notre réponse";Dragon;0
6;-"Mon sabre n'est pas fait décorer mais pour me battre";Tashigi;0
7;-"Désolé, je suis mort";Luffy;0
8;-"Parce que rien ni personne ne peux empecher un homme de prendre la mer";Dragon;0
9;-"Répond moi franchement, est ce que j'ai déjà laissé s'echapper des pirates?";Smoker;0
10;-"Qui est la plus belle de tous les océans?";Alvida;1
11;-"Si jamais je perd, c'est que le destin en aura voulu ainsi";Zoro;0
12;-"Ca bouquine un peu sur la question et ça croit tout connaitre";Ippon Matsu;0
13;-"Mon pantalon a mangé toute ta glace";Smoker;0
14;-"Leurs sabres ne méritent pas ça";Tashigi;0
15;-"Je n'ai nullement l'intention de régler son compte à un manchot dans ton genre";Mihawk;0
16;-"Son rêve ou bien son destin?";Hoop Slap;0
