id;citation;reponse;coeur
1;-"Non, en fait... Elle a plutôt leurré le monde entier";Sengoku;0
2;-"Je te fais confiance comme je fais confiance à mon équipage";Roger;0
3;-"Si tu as toujours le courage de te battre, prend mon nom, arbore-le fièrement sur ton dos et sévis à travers les océans jusqu'à satiété";Barbe Blanche;1
4;-"Ca vous gène pas de me retenir sur ce navire sans même me ligoter?";Ace;0
5;-"Mais ce qu'il dit nous fait vraiment plaisir même si ce n'est qu'un mot";Barbe Blanche;0
6;-"Peu importe qui t'a mis au monde, nous sommes tous les enfants de la mer";Barbe Blanche;0
7;-"Car cet homme a le pouvoir de détruire le monde";Sengoku;0
8;-"Même si je me retirais à l'autre bout de la mer, je ne trouverai pas d'endroit assez sur";Tsuru;0
9;-"J'essaie juste d'estimer, puisqu'il est si proche, la vraie différence de puissance entre lui et moi";Mihawk;0
10;-"Tu ne peux pas t'en prendre si simplement au 'seigneur', tu sais";Marco;0
11;-"Il y a un fossé entre jouer les héros et courir tête baissée vers la mort";Barbe Blanche;0
12;-"Si tu tiens tellement à ta famille, épargne-leur de vivre dans la honte";Akainu;0
13;-"La justice l'emportera, vous dites? Et comment qu'elle va l'emporter! Parce que celui qui remporte cette guerre deviendra l'unique justice";Doflamingo;1
14;-"Les criminels n'ont pas droit à la compassion. Mais la famille, c'est différent";Garp;1
15;-"Encore et toujours ta maudite famille";Garp;0
16;-"Pourquoi respecter un horaire quand on affronte de vulgaire pirates, hein";Barbe Blanche;0
17;-"Cet homme n'est pas du genre à laisser filtrer une info stratégique aussi facilement";Barbe Blanche;0
18;-"Il est un hors la loi déjà bien connu, cette étiquette ne sert absolument à rien";Garp;0
19;-"Je ne veux plus leur résister. Ce serait leur manquer de respect que de continuer à le faire";Ace;0
20;-"Si tu as oublié à quel point je peux être redoutable, je m'occupe fissa de te le rappeler";Ivankov;0
21;-"Tu demeures à la portée de mon sabre";Mihawk;0
22;-"Je ne me rappelle pas du nom de tous les insectes que j'ai pu écraser";Mihawk;0
23;-"Ou alors, tu voulais plutôt dire: 'Tu veux bien faire de moi ton sous-fifre?'";Crocodile;0
24;-"Sur cette océan, cette capacité est considérée comme étant la plus dangereuse";Mihawk;0
25;-"Tu devrais avoir honte! Est-ce que j'ai vraiment été vaincu par un homme aussi faible?";Crocodile;1
26;-"Mais peu importe que tu sois stupide. Je ne t'en aime pas moins";Barbe Blanche;1
27;-"Si vous êtes des pirates, décidez vous-mêmes en qui et en quoi vous croyez";Barbe Blanche;0
28;-"Est-ce que pleurer fera avancer les choses?";Marco;0
29;-"C'est justement parce qu'il ne ferait jamais ce genre de chose que c'est une légende vivante";Bege;0
30;-"Trop leeent";Kizaru;1
31;-"Je m'occuperai de lui plus tard, mais vous voir aussi content de vous me rendait malade";Crocodile;0
32;-"Si tu ne disposes pas de la puissance requise, tu auras beau faire de ton mieux, il y a pas des gens que tu ne pourras pas secourir";Kizaru;0
33;-"Tel un pur concentré de vigueur effrénée jeune, maladroit, stupide. J'ai un faible pour les fous dans ton genre";Barbe Blanche;0
34;-"Tu crois que j'aurais vraiment dû naitre?";Ace;1
35;-"Ca, c'est en vivant que tu le découvriras";Garp;1
36;-"Pourquoi suis-je si heureux que mes larmes ne cessent de couler?";Ace;0
37;-"Si, parce que je ne me battais pas, il n'était pas sauvé, pour le coup, je voudrais mourir";Luffy;0
38;-"Donnez tout ce que vous avez pour prêter main forte à mugiwara";Barbe Blanche;0
39;-"Laisse moi te dire une chose. L'amour est comme un ouragan";Hancock;0
40;-"Luffy, tu es mon ennemi";Garp;0
41;-"Si je te disais que l'unique raison de ma présence ici est d'accomplir la dernière volonté d'un camarade perdu, rirais-tu de moi?";Mr 3;1
42;-"Que ses enfants meurent avant lui est la pire des craintes pour un père";Barbe Blanche;0
43;-"C'est ici que je vous quitte. Vous devez survivre et retourner sains et saufs au nouveau monde";Barbe Blanche;0
