id;citation;reponse;coeur
1;-"Ah, j'allais presque oublier. J'ai apporté un nouveau thé. Où sont les biscuits?";Garp;0
2;-"Comparé à elle, Thriller Bark est un manège pour enfant.";Sanji;0
3;-"Son souvenir s'est évaporé! Il s'est évaporé sous mes yeux";Chopper;0
4;-"Je vais le tuer. L'homme qui a ruiné ma vie";Duval;0
5;-"Hé!! Comment va Arlong?";Sanji;0
6;-"Je ne me souviens pas avoir été touché une seule fois";Zoro;0
7;-"Voyez ce que ma lame peut faire, dans mes modestes mains";Brook;0
8;-"Ton équipage doit aussi payer pour ma souffrance";Duval;0
9;-"je connais une créature qui surclasse toutes les autres sous l'eau";Pappag;0
10;-"T'en fais pas pour lui. Tant pis s'il y passe, il mourra heureux";Usopp;0
11;-"C'est comme si elle avait craqué sous sa pression";Robin;0
12;-"Une telle horreur ne devrait même pas exister";Sanji;0
13;-"C'est moi, le beau gosse. Oups, je me suis trompé";Duval;0
14;-"Je t'ai sous-estimé. Désolé, prends soin de toi. Mais demande ton chemin";Sanji;0
15;-"Je veux juste acheter des souvenirs et rentrer chez moi. Je ne veux plus être un pirate";Un esclave pirate;0
16;-"La discipline vous fait défaut, ma chère";St.Rosward;0
17;-"Un adulte, pleurant sur le sol après sa famille. Tout cela est si humain";Princesse Sharlia;0
18;-"Asseyez-vous pendant que je finis d'extorquer d'énormes sommes d'argent à ces minables";Shakky;0
19;-"Le savoir est une arme";Shakky;0
20;-"Cette vulgaire femme gâche mon repas";Bege;0
21;-"Tuer aujourd'hui me porterait malheur";Hawkins;0
22;-"Tu me files la gerbe. Je devrais te tuer immédiatement";Kid;0
23;-"Si vous voulez vous déchainer, faites-le dans le nouveau monde";X Drake;0
24;-"Par rapport à vous, il est 100 fois plus fort";Shakky;0
25;-"Même les pirates ont des limites. Il y a des choses à ne pas faire";Bonney;0
26;-"Il n'a pas l'air du genre à suivre des ordres. Ca en dit long sur son capitaine";Urouge;0
27;-"Pourquoi c'est nous qui sommes sur l'animal le plus lent?";Sanji;0
28;-"Leurs ennemis ne sont pas seulement les kidnappeurs mais tous les habitants de cette ville";Pappag;0
29;-"Comparé à la "sincère" cupidité de ces puissants, on dirait bien que les scélérats de ce monde sont la face morale de celui-ci";Kid;0
30;-"Et il a aussi de mauvaises manières";Kid;0
31;-"Et je ne peux tout simplement pas ignorer une jolie jeune fille";Rayleigh;1
32;-"Surtout en ce moment, voulez vous que la marine affronte deux légendes en même temps?";Garp;0
33;-"La seule chose qui m'importe, c'est de m'assurer que vous repartiez tous avec l'esclave de vos rêves";Disco;0
34;-"Quand on a appris où était la sirène, est-ce que j'ai changé de direction?";Duval;0
35;-"Je ne supporte pas l'idée que des gens comme vous existent";Sanji;0
36;-"Si on ne peut pas la récupérer par la force, alors je vais jouer selon leurs règles";Nami;0
37;-"La triste vérité du monde, résumée en une minute";Kid;0
38;-"J'ai fait de mauvaises chose. Il fallait bien qu'un jour ça me rattrape";Octy;0
39;-"Pourquoi est-ce qu'il a fallu que tu lui colles un pain?";Zoro;0
40;-"Il convient sans aucun doute à un gomme comme toi, sans peur";Rayleigh;0
41;-"Si jamais je vois ces gars dans le nouveau monde je leur réglerai leur compte";Bonney;0
42;-"C'est l'ère des "sourires", ne t'avise plus jamais d'appeler ce numéro";Doflamingo;0
43;-"Si on se revoit un jour, quelque part, soyez sûrs que je rembourserai cette dette";Un géant esclave;0
44;-"Nous allons navigué sur une mer où ceux qui n'ont pas le cran de dire ce genre de choses peuvent être considérés comme mort";Kid;0
45;-"Je dirai que la moitié de tes remerciements doivent aller à monsieur chapeau de paille";Law;0
46;-"Pour un mourant, de tels titres ne veulent rien dire";Rayleigh;0
47;-"Quand je pense que tu as été si loin pour nous";Rayleigh;0
48;-"Je ne vais pas mourir, partenaire";Roger;1
49;-"Les seuls capables de créer cette ère sont ceux qui la vivent, là, maintenant";Rayleigh;0
50;-"Prenez un bon moment pour faire le tour du monde entier et qui sait, tu pourrais même arriver à une conclusion différente de la nôtre";Rayleigh;0
51;-"Si vous demandez quelque chose à ce vieil homme à ce propos ici et maintenant, alors j'arrêterais d'être un pirate";Luffy;0
52;-"Je pense que le gars avec le plus de liberté dans l'océan tout entier est le "seigneur des pirates"";Luffy;1
53;-"Je crois bien que je deviens un de vos fan";Shakky;0
54;-"Comme je l'ai dit, votre petite force militaire ne peut rien face à la mienne";Bege;0
55;-"T'es-tu déjà fait frapper à la vitesse de la lumière";Kizaru;1
56;-"Mais maintenant c'est le moment de voir, jusqu'où vont mes ambitions avec une petite contre-attaque";Urouge;0
57;-"Je t'ai déjà dit que l'escargophone noir sur ton bras ne sert qu'à intercepter des appels";Sentomaru;0
58;-"Si t'es vraiment prêt à crever, pourquoi tu ferais pas l'appât en attendant qu'on se tire?";Franky;0
59;-"Arrête d'embêter ces jeunes pousses. Parce que leur ère ne fait que commencer";Rayleigh;0
60;-"Fuir est tout ce que nous pouvons faire pour l'instant";Luffy;0
61;-"Ma bouche ne s'ouvre pas si facilement";Sentomaru;0
62;-"Merde!! Mais qu'est-ce que je fous? Perdre deux nakamas devant mes yeux";Sanji;0
63;-"Je ne peux même pas sauver un seul de mes nakamas";Luffy;0
