id;citation;reponse;coeur
1;-"Vous croyez que cette mer a un fond?";Robin;0
2;-"Voilà donc ce qu'est l'aventure. Je n'avais jamais touvé ça excitant jusqu'à présent";Robin;0
3;-"Usopp est un gros blaireau!! He pourquoi moi?! Hi hi... Et maintenant...";Tone dial; 0
4;-"Mon sang n'a fait qu'un tour quand j'ai entendu cette somme exorbitante";Nami;0
5;-"OH NOOOOOON!! Elle a mis un T-shirt";Sanji;0
6;-"Pourquoi ne voulez-vous pas fuir?";Conis;0
7;-"Tu n'avais pas le choix, pas vrai? Alors il fallait pas nous le dire";Conis;0
8;-"Tu sais ce qu'on dit: "Quand on est perdu, il faut rester où on est";Zoro;0
9;-"Désolé, mais je n'ai jamais vénéré de dieu";Zoro;1
10;-"Le mantra est l'émanation du principe divin";Satori;0
11;-"Songez que celui qui est un héros à une époque donnée peut être considéré comme un malfaiteur en d'autre temps";Gan Forr;1
12;-"Tant de petits caprices me mettent hors de moi";Shura;0
13;-"Un mort n'a pas besoin de réponse";Shura;0
14;-"Mon vieux merry, si seulement tu pouvais parler";Usopp;0
15;-"Laver ses crimes ne se fait pas sans sacrifices";Wiper;0
16;-"Toutes les choses que les hommes jugent pratiques ont un revers";Gan Forr;0
17;-"Il faut croire que dieu n'était pas son côté";Ener;0
18;-"Je vais voir quoi? Tu me veux quelque chose?";Robin;0
19;-"Ces six sens de l'être humain sons tantôt bon, tantôt maléfiques, tantôt ordinaires";Zoro;0
20;-"Tu veux te battre? Je t'explose avec un impact, moi";Nami;0
21;-"Réponse typique d'un demeuré";Robin;0
22;-"Et c'est lui le capitaine? Décidément, la fin est proche";Gan Forr;0
23;-"C'est toi qui va disparaître";Gan Forr, Robin, Wiper et Zoro;0
24;-"C'est une femme";Zoro;0
25;-"L'existence de ce pays dans les nuages va tout bonnement à l'encontre de la nature";Ener;0
26;-"Ayez au moins le courage d'admettre qu'il n'y a jamais eu aucun dieu dans ce pays";Conis;0
27;-"Les membres d'équipage du futur seigneur des pirates ne doivent jamais céder à la panique";Luffy;0
28;-"Pensais-tu vraiment que j'épargnerais une femme? Pas de discrimination";Ener;0
29;-"Qu'est-ce qui est le plus important pour toi: L'aventure ou la vie?";Luffy;0
30;-"Vos chances de survie dans la foret de l'errance est de 10%";Satori;0
31;-"Vous savez ce qu'on dit, "si vous êtes perdu ne bougez plus"";Zoro;0
32;-"C'est le devoir du citoyens";Conis;0
33;-"Pourquoi tu n'as pas arreté de trembler depuis que nous sommes sorti de chez toi?";Luffy;0
34;-"Il faut bien que je vive quand meme";Gan Forr;0
35;-"Toi, pauvre créature misérable, tu m'exaspères vraiment";Shura;0
36;-"Pour que quelqu'un vive, quelqu'un d'autre doit mourir. C'est ce qui fait ce monde";Shura;0
37;-"Etes vous prêts à laissez ceux qui tomberont en chemin?";Wiper;0
38;-"Quelle blague!! Je croyais que c'était une chèvre";Luffy;0
39;-"Désolé de ne pas t'avoir pris au sérieux, homme des mers bleues";Braham;0
40;-"Je suis un pirate!!! Tu vois!!!";Chopper;0
41;-"Aucune excuse ne pourras plus te sauver";Robin;0
42;-"L'histoire se répète peut être, mais les hommes ne peuvent pas revenir dans le passé";Robin;0
43;-"Moins il y a d'idiots, mieux le monde se porte";Ohm;0
44;-"J'ai besoin de calme car maintenant je pleure la fragilité des hommes";Ohm;0
45;-"C'est quoi son problème à cette maudite grotte?";Luffy;0
46;-"Je n'ai jamais aimé me battre pour ce genre de raison. Je suis seulement un peu plus énervé qu'avant";Zoro;0
47;-"Vous n'êtes pas capables de vous défendre vous-même....Pitoyable";Ohm;0
48;-"Il veux dire que tu ferais mieux de ne pas t'y frotter";Wiper;0
49;-"Aussi longtemps que je vivrai, je ne prierai jamais aucun dieu";Zoro;0
50;-"Gardez la bouche scellée et la vérité à l'esprit";Robin ou les anciens shandias;0
51;-"C'est sans doute trop long pour pouvoir reconnaitre la défaite";Gan Forr;0
52;-"Nul dieu n'existe sur cette terre des hommes";Gan Forr;0
53;-"Ma puissance est écrasante...Laisse-moi plutôt t'apprendre ce qu'est le désespoir";Ener;0
54;-"Il n'y a rien que les humains craignent plus que la mort";Ener;0
55;-"Ce n'est pas dieu que les hommes craignent...C'est la peur que celui-ci incarne";Ener;1
56;-"Je me relève....pour mes ancêtres";Wiper;0
57;-"Ca ne sert à rien d'attendre un hypothétique miracle";Conis;0
58;-"Tu ne me feras pas croire que tu peux démultiplier tes mains";Ener;0
59;-"Je t'interdis de prendre cet air de chien battu";Luffy;0
60;-"Et il ne faut jamais s'interposer dans un combat entre guerriers";Aisa;0
61;-"Viens prendre part au bal";Ener;0
