id;citation;reponse;coeur
1;-"Ah...oui nous faisons caca";Brook;0
2;-"Je vis dans un monde où la lumière n'existe pas";Brook;0
3;-"Je viens de vous rencontrer..Je ne veux pas vous envoyer vers ce qui serait sans doute votre mort pour mon compte";Brook;0
4;-"J'étais parti à la poursuite de mon chien quand, je suis gêné de le dire, j'ai commencé à vous espionner";Hildon;0
5;-"Hé toi, tu as perdu ça";Un zombie du cimetière;0
6;-"Merci pour votre flexibilité, docteur";Docteur Hogback;0
7;-"Ne vas jamais dans mon labo";Docteur Hogback;0
8;-"Dans ce cas, la nappe sera soigneusement lavée, comme ça nous pourrons manger soulagés";Docteur Hogback;0
9;-"L'origine est un obsédé";Sanji;0
10;-"Hééé!? Tu vends un de tes camarades!!!";Un zombie du cimetière;0
11;-"Eroleader";Les zombies acclamant Absalom;0
12;-"C'est très peu galant d'ouvrir autant ta bouche, même si tu es charmantes";Robin;0
13;-"Vous tous, ne faites pas les fiers parce qu'ici nous sommes des faibles";Buhichuck;0
14;-"T'as aussi perdu ton coeur quand tu as eu ce corps de métal?;Luffy;0
15;-"Je ne mourrai pas simplement en étant touché par un cadavre comme toi";Franky;0
16;-"Mon corps ne bouge pas comme je le veux... Ce corps...est trop fragile";Chienguin;0
17;-"Je suis un homme en fait";Nami;0
18;-"Est-ce réellement le navire de l'homme qui a défait crocodile?";Perona;0
19;-"Oh mon dieu, ça fait des années que je n'ai pas eu une telle conversation";Brook;0
20;-"C'est pourquoi cette fois...Je ne ferai pas le couard";Brook;0
21;-"Si j'avais un sous fifre de cette puissance, même ce bâtard ne pourrait me battre, pas vrai?";Moria;0
22;-"Ce n'est pas le moment de discuter de cette folie. Nos amis sont les victimes de ce jeu de foire";Usopp;0
23;-"Quel apparence misérable pour mon ancien maître";Ryuma;0
24;-"Une beauté épéiste vient d'arriver avec une tonne de viande";Usopp;0
25;-"La mort n'est pas une excuse";Brook;1
26;-"Parce qu'un homme a dit un jour que nous reviendrons absolument";Brook;0
27;-"Ils ont tous dit que ma tête te faisait rire";Brook;0
28;-"Comme si c'était le moment pour danser";Hogback;0
29;-"Vous m'avez totalement déçu! Je ne vous reconnaîtrai plus comme tel";Chopper;0
30;-"Je suis pessimiste de nature";Usopp;1
31;-"Cet homme ne peut pas être un ermite ou un saint si?";Zombie de Perona;0
32;-"Tu es presque comme un phenix, ou peut-être un zombie";Ryuma;0
33;-"Ceux qui ont perdu leur humanité comme toi ne devrait jamais utiliser ce nom";Brook;0
34;-"Dans le passé j'étais trop confiant de mes capacités et de mon ambition";Moria;0
35;-"He?!! Un ange?!";Absalom;0
36;-"On n'utilise pas des attaques qui vont dans les spectateurs";Sanji;0
37;-"Uwah!! Quoi?! C'est salé..";Absalom;0
38;-"Tu m'as volé l'un de mes rêves les plus nostalgiques";Sanji;0
39;-"Mais bon, je te croyais différent! Mais t'es qu'un gros pervers";Absalom;0
40;-"Y a pas de combat aussi injuste que celui-là";Usopp;0
41;-"Non, tu as tout faux. Tu es un homme qui peut tout changer et changer";Sogeking;0
42;-"Je dois au moins te reconnaître ça, reste suffisamment calme pour utiliser sérieusement ta tête";Perona;0
43;-"Victoire ou défaite vont probablement se jouer assez vite à présent";Brook;0
44;-"Si tu deviens son maître, cette épée comblera également ses désirs";Ryuma;0
45;-"J'ai laissé le corps de ce samourai être vaincu...Mon honneur perdu";Ryuma;0
46;-"Mais on va faire comme si ce duel s'est jamais déroulé";Zoro;0
47;-"Mais dans la mort tu deviendras l'assistant du docteur que tu admirais tellement";Hogback;0
48;-"Un humain a plus de liberté que ça!! Tu ne la traites vraiment pas comme un humain";Chopper;1
49;-"Alors ne dites pas que c'est corps vous obéissent";Chopper;0
50;-"Alors tu ne devrais pas sous-estimer le pouvoir de tes propres nakama";Sanji;0
51;-"ça va être trop gênant";Robin;0
52;-"Ce que je fais ici, c'est à moi d'en décider";Kuma;0
53;-"Si tu devais partir en voyage, où souhaiterais-tu aller?";Kuma;1
54;-"Il n'y a pas de bataille dont l'issue soit certaine";Kuma;0
55;-"Je suis comme un robot!! Ca augmente vraiment la tension dramatique";Oz;0
56;-"Tout le monde sait que le lait soigne les fractures";Brook;0
57;-"Ce serait bien plus douloureux de ne pas pouvoir rembourser ma dette envers vous";Brook;0
