id;citation;reponse;coeur
1;-"Le vieux, tes tifs, faut les couper";Luffy;0
2;-"Je vous en supplie, ayez pitié de cet enfant! Il ne sait pas ce qu'il fait";Miss Catharina;0
3;-"Faites attention, j'ai cru voir un trou dans le sol";Zoro;0
4;-"Serais-tu du genre à ne pas tenir tes engagements?";Nami;0
5;-"Regarde mon corps sublime! Fixe-le attentivement";Vivi;0
6;-"Alors quant à se prendre une raclée mortelle autant que ça serve à protéger quelqu'un que je considère comme une amie";Miss Monday;0
7;-"Ceux qui se mettent en travers de notre chemin nous avons pour habitude de les envoyez six pieds sous terre";Miss Valentine;0
8;-"C'est bientôt fini ce vacarme?";Luffy et Zoro;0
9;-"Des mannequins, quelle idée stupide";Robin;0
10;-"Vous serez gentils de ne pas pointer vos joujoux sur moi";Robin;0
11;-"Ce n'est pas à elle de décider du cap à suivre de notre bateau";Luffy;0
12;-"Regarde un peu! L'arrière de mon crâne est mis à prix à au moins 30 millions!! Epatant, hein?";Usopp;0
